text,start,end
สวัสดี,0.0,0.922
ทรู มุก ยินดี ให้บริการ หาก ท่าน ต้องการ,1.13,4.708
 ให้ ช่วยเหลือ กรุณา แจ้ง เรื่อง ที่ ต้องการ ให้ ช่วยเหลือ,4.708,8.937000000000001
 ได้ เลย เช่น ตอบ ถาม โปรโมชั่น สิทธิพิเศษ,8.937000000000001,12.840000000000002
 ช่องทาง การ ติด ต่อ เรา หรือ บริการ อื่น อื่น,12.840000000000002,16.418000000000003
 ไม่ ทราบ ว่า กำลัง เรียน สาย อยู่ กับ คุณ อะไร,16.418000000000003,20.321
 คะ คุณ รมิดา ต้องการ สอบ ถาม อะไร,20.321,23.899
 เกี่ยวกับ โปรโมชั่น วันนี้ เหรอ คะ ด้วยความยินดี,23.899,28.128
ค่ะ คุณ ลูกค้า คุณ ลูกค้า ไอโฟน 13 Pro,28.128,31.706
ราคาปกติอยู่ที่,31.818,34.202
สามหมื่นหกพันหนึ่งร้อยบาท,34.314,36.73
สำหรับ ลูกค้า ทูมูฟ รายเดือน,37.098,40.026
ที่มีอายุการใช้งาน 12 เดือนขึ้นไป,40.202,43.898
หรือมีแพ็กเกจหนึ่งพันหก,44.138,46.69
ร้อยเก้าสิบเก้าบาทขึ้นไป,46.69,49.242
สามารถซื้อเครื่องได้ในราคา,49.578,52.73
สองหมื่นห้าพันหกร้อยบาท,52.906,55.418
โปรโมชั่นย้ายค่ายเบอร์เดิม,55.722,58.106
สามารถซื้อเครื่องได้ในราคา,58.346,61.082
สองหมื่นสองพันเก้าร้อยบาท,61.194,64.058
เสียค่าบริการล่วงหน้า สี่ พัน หกร้อย บาท,64.426,68.378
สมัคร หรือ มี แพ็คเกจ หนึ่ง พัน,68.298,70.884
 สอง ร้อย เก้า สิบ เก้า บาท ขึ้นไป,70.884,73.839
 แพ็คเกจ รายเดือน เริ่มต้น อยู่ ที่,73.839,76.794
หนึ่ง พัน สอง ร้อย เก้า สิบ เก้า บาท ต่อ เดือน,77.002,80.378
ติดสัญญา 12 เดือน ค่ะ คุณลูกค้า,80.682,84.047
 ได้ค่ะ คุณลูกค้า ย้ายค่ายเบอร์เดิม,84.047,87.41199999999999
 จะได้โปรโมชั่น ไอโฟน 13 Pro,87.41199999999999,90.77699999999999
ขนาด 256 กิกะไบต์,90.89,93.85
ราคาพิเศษ สอง,93.994,95.849
หมื่นสองพันเก้าร้อยบาท,95.849,98.074
ในส่วนแพ็กเกจค่าโทรรายเดือน,98.282,100.986
หาก ลูกค้ามีการใช้งานอินเทอร์เน็ตเยอะ,101.194,104.57
ขอ แนะนำ เป็น แพ็คเกจ,104.906,107.258
หนึ่ง พัน หก ร้อย เก้า สิบ บาท ต่อ เดือน,107.274,110.746
จะ ใช้งาน อินเทอร์เน็ต ความเร็ว สูงสุด ได้ที่,110.794,114.778
60 เมกะไบต์ คุณลูกค้าสนใจ,114.986,118.48100000000001
เป็นแพ็คเกจนี้แทนไหมคะ,118.48100000000001,121.2
" รับทราบค่ะ แพ็คเกจ 1,690",121.2,124.307
 บาท โทรฟรีทุกเครือข่าย 800 นาที,124.307,127.802
อินเทอร์เน็ต ความเร็ว ห้า จี ไม่ อั้น,128.01,131.258
สัญญา สิบสอง เดือน,131.178,133.338
รอบ บิล จะ ตัด ทุก วัน ที่ สาม สิบ,133.418,136.639
 ของ เดือน นะคะ ไม่ ทราบ ว่า คุณ ลูก ขา,136.639,140.21800000000002
ย้าย ค่าย มาจาก ค่าย ไหน คะ และ รบ กวน,140.33,143.549
 ขอ ทราบ เบอร์ ทูล ที่ ต้องการ ย้าย ค่าย ด้วย ค่ะ,143.549,147.089
 ขอบคุณ สำหรับ ข้อมูล ค่ะ กรุณา รอ สัก,147.089,150.629
ครู่ นะคะ รับ ทราบ ค่ะ ขอ ทราบ หมายเลข บัตร,150.629,154.16899999999998
ประชาชน ของ คุณ ลูกค้า,154.09,156.698
เพื่อที่ทางเจ้าหน้าที่จะทำการลงทะเบียนให้,156.874,160.85
ด้วยค่ะ ไม่ทราบว่าบัตรประชาชนของคุณลูกค้า,160.85,164.826
บท อายุ วันที่ เท่าไหร่ เหรอ คะ ขอบคุณ,165.098,168.601
 สำหรับ ข้อมูล ค่ะ ทาง เรา ได้ บันทึก ข้อมูล,168.601,172.422
 ให้ เรียบร้อย แล้ว นะคะ ไม่ ทราบ ว่า คุณ ลูกค้า,172.422,176.243
 สะดวก จัด ส่ง เป็น ช่องทาง ไหน ดี คะ สามารถ,176.243,180.064
 จัด ส่ง ได้ เร็ว ที่ สุด เป็น วัน พรุ่งนี้ นะคะ,180.064,183.885
 คุณ ลูกค้า ขอ ทราบ ที่อยู่ ที่ ต้องการ จัด ส่ง,183.885,187.706
และเบอร์โทรติดต่อกับของคุณลูกค้า,187.85,191.428
ด้วยค่ะ ขอบคุณสำหรับ,191.428,193.575
ข้อมูลค่ะ คัสดุจะจัดส่งถึง,193.575,196.795
ประมาณ 1-2 วัน ภายในพื้นที่,196.714,200.546
กรุงเทพฯ ส่วนพื้นที่ต่างจังหวัด,200.546,203.994
จะ ใช้เวลา ประมาณ,204.266,206.426
สาม ถึง ห้า วัน ค่ะ คุณ ลูกค้า,206.634,209.533
 ไม่ ทราบ ว่า คุณ ลูกค้า มี คำถาม,209.533,212.79399999999998
ที่ ต้องการ สอบถาม เพิ่มเติม อีก มั้ย,212.97,216.038
 คะ ทรู มูฟ ขอบคุณ ค่ะ คุณ รา มิ,216.038,219.10600000000002
 ดา ขอบคุณ ที่ ใช้ บริการ กับ,219.10600000000002,222.17400000000004
 ทรู มูฟ ครั้งนี้ นะคะ ก่อน วาง สาย,222.17400000000004,225.24200000000005
รบกวนให้คะแนนกับการบริการ,225.482,229.036
ครั้งนี้ด้วยค่ะ ขอบคุณค่ะ,229.036,231.8
