text,start,end
สวัสดีค่ะ aas service ยินดีให้บริการค่ะ,0.138,3.674
ไม่ ทราบ ว่า คุณ ลูกค้า ต้องการ สอบถาม ข้อมูล เรื่อง,3.818,7.601
 ใด คะ ด้วย ความยินดี ค่ะ คุณ ลูกค้า คุณ ลูกค้า คะ,7.601,11.674
ราคา เครื่อง เปล่า,11.818,13.562
iPhone 11,13.61,14.97
ขนาด 64GB,15.178,17.562
ราคา เต็ม อยู่ ที่ หนึ่ง หมื่น หก,17.802,20.564999999999998
 พัน สี่ ร้อย บาท ขอโทษ นะคะ,20.564999999999998,23.674
ไม่ ทราบ ว่า คุณ ลูกค้า ใช้ เอไอเอส,23.658,26.830000000000002
 อยู่แล้ว หรือ ป่าว คะ สำหรับ,26.830000000000002,29.05
ลูกค้าปัจจุบันไม่ติดสัญญา,29.194,32.026
"ราคาอยู่ที่ 11,700",31.978,35.311
 บาทค่ะ สำหรับลูกค้าปัจจุบัน,35.311,39.061
รายเดือนซื้อพร้อมแพ็กเกจ ais5g,39.061,41.978
One Plan,41.962,43.258
ไอโฟน,43.85,45.082
เริ่มต้นที,45.098,46.586
หนึ่ง พัน หนึ่งร้อย เก้า สิบ เก้า บาท,46.506,49.658
ราคาเครื่องจะลดเหลือ,49.738,52.451
" 7,490 บาท โดยชำระ",52.451,55.616
"ล่วงหน้า 4,280 บาท",55.616,58.329
สัญญา 12 เดือน ค่ะ iPhone 11 Pro Max,58.666,62.266
ขนาด 64GB,62.218,64.506
ราคาลูกค้าทั่วไปอยู่,64.65,66.95700000000001
ที่สามหมื่นเก้าพันเก้าร้อยบาท,66.95700000000001,69.59400000000001
แต่ถ้าหากซื้อเครื่องพร้อมแพ็กเกจหกร้อย,69.674,72.72500000000001
เก้าสิบเก้าบาท,72.72500000000001,73.94600000000001
ราคาเครื่องจะอยู่ที่สามหมื่นหกพัน,74.122,77.458
สองร้อยบาทชำระล่วงหน้าหนึ่งพันบาท,77.458,80.794
สัญญา 12 เดือน ค่ะ รุ่นนี้,80.906,83.834
จะ มี สี สี คือ ดำ,84.042,87.162
ทอง,87.082,87.962
ขาว และ สี ใหม่ คือ,88.042,90.144
 มิดไนท์ กรีน ค่ะ ได้ ค่ะ,90.144,92.66600000000001
iPhone 11 Pro Max,92.618,94.458
ความจุ 64 GB,94.538,97.05
สี ขาว นะคะ รบกวน ขอ ชื่อ นามสกุล และ,97.13,100.234
 เบอร์ โทรศัพท์ ของ คุณ ลูกค้า ด้วย ค่ะ คุณ ลูกค้า,100.234,103.621
 สะดวก ให้ จัด ส่ง ทาง ไปรษณีย์ หรือ ว่า ติด ต่อ,103.621,107.008
 รับ สินค้า ที่ ช็อป ใกล้ บ้าน ดี ค่ะ ได้ เลย ค่ะ,107.008,110.395
คุณลูกค้าสะดวกทำร้ายเงินช่องทางไหนดี,110.378,113.566
คะ ขอทราบหมายเลข บัตรเครดิตและวันหมดอายุ,113.566,117.02
หน้าบัตรเลยค่ะ กรุณาถือสายรอสักครู่นะคะ,117.02,120.47399999999999
ระบบกำลังดำเนินการ ขออภัยที่จะถือ,120.682,124.146
สายรอนะคะ ตอนนี้คำสั่งซื้อของคุณลูกค้า,124.146,127.898
เรียบร้อยแล้ว,127.914,129.274
รายการ iPhone 11 Pro Max,129.578,132.602
ขนาด 64GB,132.746,135.194
สี ขาว จำนวน หนึ่ง เครื่อง,135.114,137.21
นัดรับที่เซ็นทรัลลาสพาร์ท ไม่ทราบว่าคุณลูกค้า,137.45,141.378
สะดวกเป็นช่วงวันที่เท่าไหร่ดีคะ ขอบคุณค่ะ,141.378,145.30599999999998
ขออนุญาตลงเป็นวัน,145.482,147.424
ที่ ยี่ สิบห้า ธันวาคม,147.424,149.69
สองพันห้าร้อยหกสิบห้าไว้ก่อนนะคะ ทางเรา,149.834,153.19
ได้บันทึกข้อมูลให้เรียบร้อยแล้วนะคะ คุณลูกค้า,153.19,156.804
ต้องการให้เอเอเอสเซอร์วิสบริการเรื่องไหน,156.804,159.90200000000002
เพิ่มเติมไหมคะ ชั้นสองของห้างเซ็นทรัลลาดพร้าวค่ะ,159.90200000000002,163.258
คุณลูกค้าขึ้นบันไดเลื่อนตรงกลางก็เจอเลยค่ะ เปิด,163.562,167.32600000000002
ให้บริการตั้งแต่เวลาสิบนาฬิกาถึงยี่สิบ,167.32600000000002,171.09000000000003
นาฬิกาทุกวันจันทร์ถึงวันอาทิตย์ค่ะคุณลูกค้า,171.09000000000003,174.85400000000004
 เอไอเอสขอขอบคุณคุณลูกค้าเป็นอย่างยิ่งที่ใช้,174.85400000000004,178.61800000000005
บริการกับเอไอเอสครั้งนี้นะคะ หากมีข้อสงสัย,178.61800000000005,182.65100000000004
หรือต้องการให้ AIS บริการเรื่องอะไร,182.634,185.786
ติดต่อ คอร์ซเซ็นเตอร์ เอเอส,185.834,187.93
หนึ่ง หนึ่ง เจ็ด ห้า,187.914,189.434
ได้ตลอด 24 ชั่วโมง,189.514,191.68900000000002
 AIS ยินดีให้บริการ,191.68900000000002,194.29800000000003
ก่อนวางสาย,194.442,195.866
รบกวนให้คะแนนกับการบริการ,195.914,198.767
ครั้งนี้ด้วยนะคะกฎห้า,198.767,200.986
พึงพอใจมาก กฎหนึ่ง,200.97,203.418
พึงพอใจน้อยที่สุด ขอบคุณค่ะ,203.434,206.115875
