text,start,end
สวัสดีครับ,0.0,1.05
AIF Call Center ยินดีให้บริการครับ,1.034,4.474
เอ็มปัเป้ รับฝ่าย,4.746,6.49
ไม่ทราบวันนี้มีเรื่องใดให้ช่วยเหลือครับได้เลยครับ,6.538,10.426
ขอ ทราบ ชื่อ และ เบอร์ ais,10.666,13.562
ขอบคุณลูกค้าครับ,13.482,14.97
สำหรับเบอร์ของคุณลูกค้าสามารถสมัคร,14.954,18.042
เอ็มบับเป้ได้เลยครับ,18.346,20.25
เซริเนศ คนพิเศษ เช่น คุณ,20.266,22.65
จะได้รับความพิเศษและสิทธิ,22.858,25.282
ประโยชน์ในด้านต่างๆมากมายครับ,25.282,27.706
ทั้งช็อปปิ้ง,28.01,29.37
เท่าเทียม,29.322,30.394
ส่วนลดร้านค้าร้านอาหาร,30.57,32.858
ความบันเทิง และ หมายเลขติดต่อพิเศษ,33.002,35.93
หนึ่ง หนึ่ง สี่ แปด,36.17,37.498
รับบริการได้รวดเร็วมากขึ้น,37.738,40.122
นอกจากนี้ ลูกค้าคือ รณีคลาสตินัม และ โกลด์,40.394,44.314
รับบริการเล้าที่สนามบิน,44.426,46.874
ที่จอดรถ,47.082,48.122
และบริการผู้ช่วยตัวตัว,48.17,50.682
ที่ช่วยทำให้คุณรู้สึกพิเศษมากกว่า เดี๋ยว,50.73,53.62
จะขอส่งข้อมูลเพิ่มเติม พร้อมใบสมัครให้คุณลูกค้า,53.62,56.992
ทางอีเมล์ที่แจ้งไว้กับทาง AIS นะครับ,56.992,59.641999999999996
และนอกจากความพิเศษในแบบเฟรนิกซ์แล้ว,60.074,63.29
เพียงคุณเป็นลูกค้าระบบรายเดือน,63.37,66.202
เติมเงินวัตถุข้อ,66.218,67.93
เน็ตบ้านไฟเบอร์,67.914,69.37
ทุกการจ่ายบิน 25 บาท,69.674,71.802
รวม VAT,71.754,72.506
คุณจะได้รับพ้อยสะสมทันทีหนึ่งพ้อย,72.842,75.898
ใช้เป็นคะแนนส่วนลดแรกของรางวัล,76.17,79.002
คาดโภค,79.178,80.218
และโปรโมชั่นอื่น ๆ,81.29,83.394
 ได้ การสมัครบริการ Apple,83.394,85.498
แคปลัส,85.482,86.234
ต้องซื้อพร้อมกับการซื้อเครื่อง,86.602,88.986
ไม่มีการขาย Apple แคลร์พลัส,89.226,91.611
แยกต่างหาก การสมัคร Apple แคลร์พลัส,91.611,94.394
ลูกค้าสามารถสมัครได้ 1 เครื่อง,94.442,97.37
ต่อ 1 Apple แคลร์พลัส,97.45,99.13
โดยเครื่องที่มี Apple CarPlay Plus อยู่แล้ว,99.338,102.106
จะไม่สามารถสมัครซ้ำกับ,102.25,104.314
AIS Mobile Care ได้ครับ โดยทั่วไปใช่ครับ,104.33,108.25
แต่ Mbappé มีข้อเสนอสมัคร Apple แคร์ราคา,108.49,112.146
"เริ่มต้นที่ 3,300 บาทครับ",112.146,115.071
 Apple แคร์พลัสสำหรับ iPhone 13,115.071,118.362
ขยายระยะเวลาคุ้มครองการซ่อม,118.57,121.498
และบริการช่วยเหลือด้านเทคนิค,121.578,123.866
เป็น 2 ปี,123.818,125.178
นับจากวันที่คุณซื้อ Apple Care Plus และเพิ่มความ,125.226,128.736
คุ้มครองด้านความเสียหายจากอุบัติธิภาพสูงสุด,128.736,132.53799999999998
2 ครั้งในทุกๆ 2 เดือนครับ,132.714,135.034
สมัครตอนนี้ คุ้มมากๆเลยครับ ได้เลยครับ,135.37,138.618
ผมกำลังส่งข้อมูลให้ตามอีเมลที่,138.634,141.426
ลูกค้าลงทะเบียนไว้นะครับ รับทราบครับ,141.426,144.218
ขอ ฝาก อีเมล แอดเดร็จ ใหม่ ครับ ต้อง ขอ รบ กวน,144.17,147.37099999999998
 ให้ คุณ ลูกค้า ช่วย ปรากฏ ด้วย นะ ครับ ขอบคุณ,147.37099999999998,150.57199999999997
 สำหรับ การ อัปเดต ข้อมูล ครับ แอดมิน ขอ ชวน,150.57199999999997,153.77299999999997
 ชื่อ ตัว สะกด อีเมล ของ คุณ ลูกค้า นะ ครับ จี,153.77299999999997,157.24099999999996
เอ โอ ดี โอ เอ โอ,158.442,161.754
d o l o at gmail.com,161.674,164.434
 ครับ แอดมินกำลังจะส่ง,164.434,167.194
อีเมลรายละเอียด,167.178,168.73
ของการสมัคร,169.002,170.17
แอปเปิลแคลร์,170.09,171.354
และ aifteranet ไปที่อีเมลของ,171.434,174.226
คุณลูกค้านะครับ ด้วยความยินดีครับ,174.226,177.018
ไม่ทราบว่ามีข้อมูลด้านใดต้องการตอบถาม,176.938,180.32799999999997
เพิ่มเติมไหมครับ ได้ครับ MBUFB ส่งข้อมูลให้เรียบร้อย,180.32799999999997,184.00099999999998
ครับ ขอบคุณที่ใช้บริการกับ AIS ครั้งนี้นะครับ,184.00099999999998,187.67399999999998
ก่อนวางสายรบกวนให้คะแนน,187.946,190.178
กับการบริการครั้งนี้ด้วยครับ,190.178,192.41
ขอบคุณครับ,192.554,193.535875
