text,start,end
โครโมค คอร์เซ็นเตอร์ สมพร รักษา,0.874,3.29
ยินดีให้บริการค่ะ,3.37,5.562
ได้ค่ะ ไม่ทราบว่าตอนนี้สมควร,5.706,8.145
กำลังเรียนสายอยู่กับคุณ,8.145,10.042
คุณอะไรคะ คุณผ่อนทิพย์นะคะ,9.962,13.082
สนใจเป็นมือถือรุ่นไหนเป็นพิเศษ,13.322,16.581
ไหมคะ ดูมาหรือยังคะ ได้ค่ะ,16.581,19.514
ตัว ออโปโล รีโน แปด สี่,19.626,22.202
ฮาตินะคะตอนนี้ทาง,22.186,24.506
ชัวร์มุกมีโปรโมชั่นลดกระหน่ำ,24.586,27.006999999999998
ส่งท้ายปีมาด้วยเลยค่ะ,27.006999999999998,28.889999999999997
ลูกค้าสามารถซื้อเครื่องพร้อมแพ็กเกจราคาพิเศษแล้ว,29.13,32.866
ก็ได้รับสิทธิผ่อนศูนย์เปอร์เซ็นต์นานสิบเดือนด้วยค่ะ,32.866,36.602
ใช่ค่ะ ได้ค่ะ ได้ทุกบัตรเลย,36.522,39.514
บัตรรวมรายการเลยค่ะ,39.978,41.978
ค่ะ สำหรับ ออฟโปร์ รีโน แปด สี่,41.93,44.922
ห้า สี่ นะคะ,44.906,46.17
ขนาดความจุ,46.314,47.482
5 แรมที่ 8GB,47.658,49.658
รองที่ 128 อิกาไบนะคะ,49.93,52.738
 มีด้วยกัน 2 สีค่ะ คือ สี,52.738,55.546
สตาร์ไลท์แบล็กและสีทองดาวไรท์ค่ะ,55.754,58.714
ราคา เครื่อง เปล่า อยู่ ที่,58.794,60.89
หนึ่งหมื่นหนึ่งพันเก้าร้อยเก้าสิบบาทนะคะ,60.938,64.506
ราคาพิเศษสำหรับลูกค้าปัจจุบัน,64.522,67.403
รวมถึงลูกค้าใหม่เลยนะคะ,67.403,69.498
เริ่มต้นที่,69.482,70.65
"6,490 บาท ค่ะ",70.602,72.89
ส่วนลูกค้าย้ายค่ายออนไลน์นะคะ,73.034,76.197
" เริ่มพิเศษที่ 5,990 บาทค่ะ แพ็คเกจราคา",76.197,80.766
" 1,199 บาทขึ้นไปค่ะ",80.766,83.226
จะเป็นแพ็กเกจ 5G Ultra Max Speed ค่ะ,83.242,86.874
สำหรับ แพ็กเกจ 5G Ultra Max Speed นะคะ,86.954,90.298
จะได้รับอินเทอร์เน็ต 5G และ 4G ไม่อั้น,90.346,93.519
ไม่ลดสปีดค่ะ มีความเร็วอินเทอร์เน็ตสูง,93.519,96.69200000000001
สุดถึง 1 GB ต่อวินาทีเลยนะคะ,96.69200000000001,99.86500000000001
พร้อมโทรในเครือข่ายได้,99.978,101.98599999999999
ฟรีตลอด 24 ชั่วโมงค่ะ,101.98599999999999,103.99399999999999
ได้ค่าโทรนอกเครือข่าย,104.106,105.85
สาม ร้อย ห้า สิบ นาที,105.962,107.514
แล้วก็ได้รับ 10 ฟรี ทูไอดี,107.722,110.434
 ไว้ดูหนังฟังเพลงนาน 12 เดือนค่ะ,110.434,113.146
นอกจากนี้นะคะ ยังแถมฟรีซิม,113.194,115.65
การ์ดหนึ่งซิมจะเป็นอีกเบอร์นะคะ,115.65,118.10600000000001
เอาให้คนในบ้านหรือว่าเราจะเอาไปใส่แท็บเล็ต,118.186,121.778
ก็ได้ค่ะ สำหรับ oppo reno 8 ดีนะคะ,121.778,125.114
"ที่แพ็คเกจสัญญาราคา 1,199 บาทต่อ",125.322,128.862
เดือนจะมีค่าทำรับค่าบริการล่วงหน้าอยู่ที่,128.862,132.698
สอง พัน หนึ่ง ร้อย สี่ สิบ บาท,132.778,134.714
สัญญาทั้งหมด 12 เดือนค่ะ,134.666,137.978
เป็นสัญญา 1 ปี ค่ะ คุณพร ฮีฟ ค่ะ,137.93,140.711
 สำหรับ ออโปโล รีโน 8 ปี นะคะ,140.711,143.77
"แบตเตอรี่จะอยู่ที่ 4,500 มิลลิแอมป์ค่ะ",143.914,147.834
รองรับทาร์ทไว้ด้วยนะคะ,147.882,150.906
กล้อง หลัก นะคะ ความ ละเอียด,151.05,153.074
 จะ อยู่ ที่ 64 ล้าน พิกเซล,153.074,155.098
เซลล์ ค่ะ,155.05,156.026
ส่วนกล้องหน้าจะอยู่ที่,156.202,158.458
16 ล้านพิกเซล ค่ะ ได้ค่ะ สามารถ,158.506,161.924
ใส่หน่วยความจำภายนอก Micro SD Card,161.924,165.722
ได้ สูง สุด,165.738,166.746
พึ่ง 1TB เลยค่ะ สำหรับสายชาร์จ,166.794,169.893
เป็นแบบ USB-C Type C อาจ,169.893,172.992
จะไม่ใช่พวก Micro USB ค่ะ,172.992,176.09099999999998
อุปกรณ์ภายในกล่องนะคะก็จะ,176.618,179.618
มีตัวเครื่องมือถือออโฟรีโน 8G,179.618,182.618
พร้อมหัวปัก Adapter และสายชาร์จ Type C นะคะ,182.826,186.714
พร้อม บัตรประกันสินค้า,186.922,189.018
มีทั้งสมุดคู่มือการใช้งาน,189.322,191.834
อุปกรณ์ช่วยในการใส่ซิมการ์ด,191.946,194.362
และยังแถมฟิล์มติดหน้าจอและเคสใส่,194.378,197.32299999999998
ให้ด้วยค่ะ สำหรับเงื่อนไขในการรับประกัน,197.32299999999998,200.85699999999997
นะคะ ตัวเครื่องจะอยู่ที่ 12 เดือนค่ะ,200.85699999999997,203.80199999999996
ส่วน แบตเตอรี่ แอดแอพเตอร์ ซ้ายชาร์จ และ หูฟัง,204.01,207.674
จะอยู่ที่หกเดือนค่ะ ได้เลยค่ะคุณพร ทิพย์,207.85,211.706
รบกวนขอชื่อนามสกุลเบอร์โทรศัพท์และที่อยู่ใน,211.754,215.54899999999998
การจัดส่งมือถือด้วยค่ะ ขอบคุณสำหรับข้อมูล,215.54899999999998,219.34399999999997
ค่ะในส่วนของการชำระเงินรบกวนขอเลขบัตร,219.34399999999997,223.13899999999995
เครดิตสิบหกหลักและวันหมดอายุของบัตรด้วยค่ะ,223.13899999999995,227.22599999999994
ใช่ค่ะ ขอบคุณ,227.274,229.144
สำหรับข้อมูลค่ะ,229.144,231.482
สม พร ได้ ทำ การ ลง ข้อมูล,231.722,234.098
 และ พร้อม จะ ส่ง มือ ถือ iphone,234.098,236.47400000000002
ให้คุณพรทิพย์พร้อมแพ็คเกจหนึ่งพันเก้าสิบ,236.746,239.922
เก้าบาทต่อเดือนในวันพรุ่งนี้เลยค่ะยินดี,239.922,243.386
ให้บริการค่ะมีข้อมูลในเรื่องใดที่ต้องการ,243.386,247.139
สอบถามเพิ่มเติมอีกไหมคะ ขอบคุณมากค่ะ,247.139,250.315
ก่อนวางสายรบกวนให้คะแนนการบริการใน,250.315,253.779
ครั้งนี้ด้วยนะคะขอบคุณมากค่ะสวัสดีค่ะ,253.779,257.243
