text,start,end
สวัสดีค่ะ ขอบคุณที่มารับสัน,1.322,2.842
ไม่ทราบว่าคุณลูกค้าติดต่อเรื่องอะไรคะ,3.434,5.818
ด้วยความยินดีค่ะ คุณจิรา กำลังแบ่งสายอยู่กับคนอะไรนะคะ,5.93,9.594
ขอบคุณประภา ดา สนใจ ipad 9 ขนาด,9.642,13.082
กระไบนะคะ ถ้าเป็น,13.61,15.354
ไอแพด,15.306,16.09
จะมีสองรุ่นนะคะ,19.402,21.594
รุ่น ไวไฟ,21.706,23.002
กับ ซูรูลาราคาปกติจะ,23.338,26.11
"อยู่ที่ 18,400 บาท ถ้าซื้อพร้อม",26.11,28.881999999999998
แพ็กเก็ตรายเดือนสำหรับแพ็กเก็ต 699 บาท,28.881999999999998,31.961999999999996
ราคาเครื่องจะลดเหลือ,32.138,34.394
หนึ่ง หมื่น สี่ พัน เก้า ร้อย บาท และ,34.57,37.146
พัดแก๊ส,37.29,38.138
หนึ่ง พัน หนึ่งร้อย เก้า สิบ บาท ราคา เครื่อง,38.314,41.394
 จะ ลด เหลือ หนึ่ง หมื่น สาม พัน สี่ ร้อย บาท,41.394,44.474
สัญญา สิบสอง รอบ ดิน,44.426,46.33
และราคาหนึ่งหมื่น,46.346,48.56399999999999
เจ็ดพันเก้าร้อยบาทต่อ,48.56399999999999,51.22599999999999
แพ็คเกจขั้นต่ำ,52.682,53.754
และไม่ต้องใส่ล่วงหน้า,54.506,56.122
จิตสัญญาค่ะ,56.362,57.466
อีกรุ่นนึง,58.186,59.194
ไอแพด รุ่น ไวไฟ,59.402,61.05
ราคาปกติอยู่ที่,61.098,63.002
สอง พัน,63.658,64.538
เก้า ร้อย บาท ซื้อ พร้อม แพ็คเกจ สัญญา สิบสอง เดือน,64.458,67.866
ลด เหลือ เก้า พัน สี่ ร้อย บาท สำหรับ แพ็กเกจ,67.85,71.261
 เริ่มต้น หก ร้อย เก้า สิบ บาท และ ราคา,71.261,74.362
เจ็ด พัน เก้า ร้อย บาท,74.634,76.058
สำหรับ แพ็กเกจเริ่มต้น,76.01,77.594
หนึ่งพันหนึ่งร้อยเก้าสิบเก้าบาท,77.674,79.68400000000001
ค่ะถ้าเป็นแพ็กเกจไม่ติดสัญญา,79.68400000000001,81.94600000000001
ราคา เครื่อง จะ อยู่ ที่,82.026,83.834
นั่งมา,84.042,84.794
สองพันหกร้อยบาท,84.714,86.362
ไม่มีกำหนดแพ็กเกจขั้นต่ำ,86.314,87.962
และไม่ต้องจ่ายล่วงหน้า,88.586,90.65
คุณประภาระสนใจรับเป็นแบบไหนดีคะถ้าเป็นผ่อน,90.954,94.42399999999999
กระบักเทรดดิบนะคะได้เลยค่ะคุณประภาระคุณประภาระ,94.42399999999999,98.356
ถือบัตรของอะไรอยู่คะถ้าบัตรเทรดดิบซิตี้แบงก์,98.356,101.594
ไอแพดก้าวจะไม่ได้ร่วมรายการเลยค่ะ,102.57,105.21
ไม่ทราบว่าคุณประภาดาถือบัตรของใบอื่น,105.29,108.154
ถ้าเป็นบัตรเครดิตของเครดิตซี,110.41,112.218
สามารถแบ่งชนะศูนย์เปอร์เซ็นต์ได้สิบเดือนนะคะ,112.202,115.61
คุณปภาดาสนใจทำรายการสั่งซื้อเลยมั้ยคะ พฤศจิกายน์,115.69,119.642
จะดำเนินการส่งเด้งชำระของบัตรเครดิตเคทีซี,119.642,123.12899999999999
ส่วนเปอร์เซ็นต์สิบเดือน,123.53,125.274
ให้กับทางศุลภาษาพาดาทางข้อความนะคะ,125.29,127.962
ขอ ฝ้า ใหม่ เลข โทรศัพท์ ของ คุณ ปภา ดา,128.106,130.969
 ด้วย ค่ะ ได้ ค่ะ ขออนุญาต ทวน เบอร์ นะคะ,130.969,133.594
ส่วน เก้า ศูนย์,133.866,134.938
แปด แปด เจ็ด,135.114,136.09
ห้า ห้า สี่ สี่,136.266,137.402
ถูกต้อง นะคะ สะกดถือสายร้อนสักครู่นะคะ คุณ จิ,137.418,141.06
 รา กำลังดำเนินการส่งลิงก์ชำระไปให้ทางข้อความ,141.06,144.474
ส่งเลนส์ชำระไปให้ทางข้อความเรียบร้อยแล้วนะคะ,144.426,147.55399999999997
 คุณปฐดาได้รับไหมคะ รบกวนตรวจสอบให้นิดนึงค่ะ,147.55399999999997,150.90599999999998
ใช่ค่ะ คุณแป๊บฮาดา คุณแป๊บ,150.922,153.338
คุณประภาระดำเนินการได้เลยนะคะถ้ากรอกข้อมูลของบัตรเครดิต,153.578,157.707
เรียบร้อยแล้วคุณธีราจะได้ดำเนินการขั้นตอนต่อไปให้ค่ะ,157.707,161.402
ขออนุญาตตรวจสอบข้อมูลสักครู่นะคะได้รับข้อมูล,161.77,164.727
ของการชำระของคุณประภาระเรียบร้อยแล้วค่ะ,164.727,167.29
ขอ ฟาด ชื่อ,167.402,168.634
น้ำตระกูล,168.65,169.53
และที่อยู่ของคุณปลาวาดาเพื่อดำเนินการ,169.45,172.012
ลงในระบบให้นะคะ ขอบคุณสำหรับข้อมูล,172.012,174.787
ค่ะขออนุญาตทวนข้อมูลเพื่อความถูกต้องนะคะ,174.787,177.562
คุณ ป ธา ดา ใจดี,178.282,180.218
ที่อยู่ และ ที่นี่ มี สาม สอง ซอง,180.298,182.65
พระราชดำริสาหร่าน สุรินทร์,184.682,185.658
งานวงวาล,186.09,187.098
ถนน ราชอาณาธิเบศร์ ตำบล บางกะสอ,187.274,190.21
 อำเภอเมือง จังหวัด หนุน ทบุรี,190.21,192.346
หนึ่ง หนึ่ง,192.298,193.082
ติดต่อ,194.538,195.29
พระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระราชพระรา,203.69,204.474
ในวันพรุ่งนี้นะคะ,205.258,206.618
ที่ ติดต่อ คนเรา,208.906,209.786
เพื่อ แจ้ง เลข พัด ประดุ อีกครั้ง ค่ะ,210.41,212.346
มี ข้อมูล ส่วน ไหน ที่,212.554,214.138
ทั้งคุณปัฏฐาอยากให้คุณจิตราดูแลเพิ่มเติมแน่,214.442,217.114
ขอบคุณ พุทธภาพาดา ที่ใช้บริการเอเอส,217.61,220.762
ก่อนว่างฝ่ายรบกวนให้คะแนนความพึงพอใจ,221.994,224.655
กับการให้บริการครั้งนี้ด้วยค่ะ,224.655,226.65
