text,start,end
ทูลมุฟออนไลน์ยินดีให้บริการค่ะ,0.394,3.418
ไม่ทราบว่าคุณลูกค้าต้องการสอบถามข้อมูล,3.434,6.148
เรื่องอะไรคะ ได้เลยค่ะคุณลูกค้า,6.148,8.41
เบื้องต้นรบกวนสอบถามข้อมูลการใช้งานของลูกค้าก่อนนะคะ,8.458,12.186
ว่าปกติใช้งานเน้นไปทางไหนคะรับทราบค่ะคุณลูกค้า,12.17,16.122
ตอนนี้แพ็คเกจเน็ตบ้านที่แนะนำสำหรับคุณลูกค้าจะเป็น,16.234,19.962
แพ็คเกจ ทรู กิกาเทค โปร โดยมีทั้งหมดสองแบบบริการ,19.914,23.858
ค่ะ แพ็คเกจแรกนะคะ ความเร็วดาวน์โหลดสูงสุด 1 กิกาปิด,23.858,27.802
และความเร็วอัพโหลดสูงสุดอย่างที่กระบิด,27.722,30.618
ราคา หนึ่ง พัน สอง ร้อย เก้า สิบ เก้า บาท ต่อ เดือน,30.634,34.01
ส่วน แพ็คเกจ ที่สอง นั้น,34.122,35.898
ความเร็ว ดาวน์โหลด สูงสุด หนึ่ง กิกาบิต,35.85,38.298
และ ความเร็ว อัพโหลด สูงสุด,38.314,40.25
ห้าร้อย กิโลบิตร ราคา 999 บาท ต่อ เดือน ค่ะ โดย ทั้ง,40.234,44.034
 ฝาก แพ็คเกจ นี้ จะ ได้ รับ บริการ เพิ่ม เติม แรง นี้ ค่ะ,44.034,47.833999999999996
อันแรกคือ,47.85,48.954
ทรู ฮิกเฮก ไฟเบอร์ เลาเตอร์ โป,49.034,51.61
ต่อมาคือกล่อง ทูล ไอดีทีวี,51.594,54.458
พร้อมรับชม ทูไอดีพลัส นาน 24 เดือน,54.41,57.562
อีก ทั้ง ยังมี ฟรี บริการ รายเดือน,57.642,60.014
 อุปกรณ์ ขยาย สัญญาณ ไวไฟ ภายใน บ้าน,60.014,62.650000000000006
และบริการปรับสปีดเน็ตตามไลฟ์สไลด์อีกด้วยค่ะ,62.666,65.69
แต่ว่าในตัวแพ็กเกจแรก ลูกค้าจะได้สิทธิรับชม,65.866,69.178
to vision now แบบ นานถึง 24 เดือนค่ะ ใช่เลยค่ะคุณลูกค้า,69.13,73.079
 บริการติดตั้งนี้ฟรีค่ะคุณลูกค้า ไม่ต้องเสียค่า,73.079,76.53399999999999
ใช้จ่ายใดใดเพิ่มเติมเลยค่ะ คุณลูกค้าสนใจเป็นแพ็กเกจ,76.53399999999999,80.48299999999999
ตัวไหนคะ ได้เลยค่ะคุณลูกค้า ได้เลยค่ะคุณลูกค้า,80.48299999999999,84.18499999999999
คุณลูกค้า สะดวกให้ช่างของเราไปติดตั้งวันไหนดีคะ,84.17,87.882
 ได้เลยค่ะ เป็นวันอังคารที่สิบธันวาคมเวลาบ่ายโมงครึ่ง,87.882,91.82600000000001
นะคะ รบกวนขอทราบชื่อนามตระกูลของลูกค้าค่ะ รับทราบค่ะ,91.82600000000001,95.77000000000001
คุณลูกค้า สะดวกสำลักผ่านบัตรเครดิตหรือหักเงิน,95.818,99.03399999999999
จากบัญชีธนาคารคะ รบกวนขอหมายเลขบัตรเครดิต,99.03399999999999,102.24999999999999
และวันหมดอายุหน้าบัตรค่ะ รับชอบค่ะคุณลูกค้า,102.24999999999999,105.46599999999998
ขออนุญาตโทรเลขอีกครั้งนะคะ,105.482,107.322
เก้า เก้า สี่ สาม สาม ศูนย์ หก ห้า,107.466,110.554
สอง สาม สี่ สาม เจ็ด แปด เก้า,110.634,113.138
 สอง ถูก ป่ะ มั้ย คะ รับทราบ ค่ะ,113.138,115.64200000000001
โดยรอบบิลของคุณลูกค้าจะเริ่มตัดวันที่ 7,115.626,118.543
 ในเดือนถัดไปนะคะ รบกวนขอที่อยู่และเบอร์,118.543,121.46000000000001
โทรของคุณลูกค้าเพื่อเป็นข้อมูลให้กับทางสร้าง,121.46000000000001,124.37700000000001
ที่จะเข้าไปทำการติดตั้งอินเทอร์เน็ตค่ะรับทราบค่ะคุณลูกค้า,124.362,128.314
ขออนุญาตทวนที่อยู่อีกครั้งนะคะ,128.426,130.618
บ้าน เลข ที่ 33 ฟอนิมมาน 1 จังหวัด เชียงใหม่ นะคะ,130.698,134.49
เบอร์โทร,134.698,135.642
ศูนย์ แปด หนึ่ง สอง สาม สี่ ห้า หก,135.658,138.06099999999998
 เจ็ด แปด ต้อง นะคะ ขอ พระ โค้ช ค่ะ,138.06099999999998,140.73
โดยจะมีพนักงานติดต่อหาคุณลูกค้าก่อน,140.97,143.558
วันที่ข้าเข้าไปติดตั้งล่วงหน้าหนึ่งวันนะคะ,143.558,146.362
เพื่อเป็นการคอนเฟิร์มค่ะ ขอบคุณที่,146.346,148.491
เลือกใช้บริการกับ ทูมุฟออนไลน์ค่ะ,148.491,150.87400000000002
คนลูกค้ามีข้อสงสัย หรือ,150.986,152.762
ต้องการสอบถามด้านอื่นอื่นเพิ่มเติมไหมคะ,152.682,155.307
 หากคุณลูกค้าต้องการเปิดเบอร์รายเดือนร่วมด้วย,155.307,158.17
จะมีส่วนลดให้ดังนี้ค่ะ,158.154,159.994
โดย ตัว แพ็คเกจ รายเดือน นั้น จะ เป็น,160.074,162.418
 โทร ฟรี ทุก เครือข่าย สอง ร้อย นาที,162.418,164.762
และเน็ตความเร็วสูงสุดจำนวน 30 กิกะไบต์,164.714,168.026
จากนั้น ความเร็วคงที่ 300 กิโลบิต,168.042,170.81
