text,start,end
บริษัทและคมนาคมแห่งชาติ สวัสดีค่ะ,0.106,3.482
ไม่ทราบว่าต้องการตอบถามข้อมูล,3.594,6.127
ในด้านใดคะ ค่ะ คุณลูกค้า,6.127,8.378
บริการสำรองข้อมูลที่ช่วยป้องกัน,8.426,11.42
และรักษาข้อมูลค่ะ ไอร์ไอเอส แปลกอัพ,11.42,14.714
เป็นบริการที่ช่วยป้องกันและ,14.858,17.138
รักษาข้อมูลในคอมพิวเตอร์,17.138,19.418000000000003
ไม่ว่าจะเป็นภัยพิบัติ,19.498,21.507
หรือเกิดเหตุการณ์ที่ไม่คาดสัน,21.507,23.802
ข้อมูลของคุณลูกค้าก็จะไม่ผิดหาอย่างแน่นอนค่ะ,23.85,27.578
อีกทั้งยังช่วยลดค่าใช้จ่าย,27.818,30.234
ในการลงทุนด้าน IT ด้วยค่ะ บริการนี้,30.378,33.914
แปลงบริการสำรองข้อมูลที่มีความปลอดภัย,33.962,37.754
เพราะมีการเข้ารหัสข้อมูล 4G ตัดบิด,37.898,41.349000000000004
สามารถตั้งค่าให้สำรองข้อมูลอัตโนมัติ,41.349000000000004,45.114000000000004
เมื่อมีการเปลี่ยนแปลงข้อมูล,45.386,47.738
สามารถตั้งเวลาในการสำรอง,47.818,50.147
ข้อมูลได้โดยอัตโนมัติค่ะ,50.147,52.217999999999996
และตำแหน่งได้ว่า,52.458,54.138
ข้อมูลที่จัดเก็บนั้นมาจากเครื่องไดร์,54.058,57.178
และมีการบันทึกวันและเวลาโดยอัตโนมัติ,57.226,59.994
ทุกครั้ง,60.298,61.274
สามารถกู้คืนโดยเลือกวันและเวลาได้ค่ะ อีก,61.45,65.298
ทั้งมีการตรวจสอบการจัดเก็บข้อมูลที่ซ้ำกัน,65.298,69.146
เพื่อให้ประหยัดพื้นที่การใช้,69.226,72.019
งานการจัดเก็บข้อมูลแรงและเร็ว,72.019,75.162
เพราะระบบอยู่ในไทยค่ะ,75.21,77.146
เป็นการใช้งานแบนวาย,77.386,79.546
ในประเทศมีผู้เชี่ยวชาญคอย,79.69,82.45
ดูแลทุกวันตลอด 24 ชั่วโมง,82.45,85.21000000000001
มั่นใจได้ว่าข้อมูลเป็นความ,85.258,88.04899999999999
ลับและสะดวกในการใช้งานค่ะ,88.04899999999999,91.189
 บริการ Cloud service ในรูปแบบ LAAS,91.189,94.329
ที่ครอบคลุมและคุ้มค่า,94.474,96.593
ที่ได้รวมบริการหลายขึ้น,96.593,99.066
ระบบปฏิบัติการ Windows Server,99.082,101.85
บริการ แบ็คอัพ ข้อมูล,101.994,104.218
ระบบที่ลูกค้าสามารถบริหารจัดการ,104.202,107.282
ทรัพยากรได้ด้วยตัวเอง,107.282,109.24199999999999
และสามารถเลือกสถานที่,109.258,111.354
ใช้บริการได้,113.034,114.554
แล้วยังสามารถใช้บริการเสริมสำหรับ Backup,114.634,118.042
หรือ,118.122,118.906
รับผิดพลาด,118.826,119.706
รับแอปพลิเคชั่นข้อมูลไปยังดี,119.786,122.482
อาไซต์ได้อีกด้วยค่ะ นี่ค่ะลูกค้า,122.482,125.178
เป็น บริการ ดา ต้า แค ป,125.226,127.226
แคลร์ ดาวต้า เซ็นเตอร์ ค่ะ บริการ,127.434,130.746
Data Center เป็นบริการ,130.698,133.31400000000002
ให้เช่าพื้นที่ศูนย์ข้อมูล,133.31400000000002,135.93000000000004
สำหรับติดตั้งอุปกรณ์เว็บเวิร์ค,136.042,138.554
หรืออุปกรณ์อื่น ๆ,138.666,140.474
ที่เกี่ยวข้อง,140.522,141.722
เพื่อเชื่อมต่อวงจรภายใต้,141.77,144.15200000000002
ระบบสาธารณูปโภคพื้นฐาน,144.15200000000002,146.87400000000002
และการดูแลของ,146.89,148.762
NTIDC บริการนี้เหมาะสำหรับผู้,148.746,151.696
ประกอบการที่มีใบอนุญาตประกอบ,151.696,154.974
กิจการโทรรับคมนาคมในประเทศ,154.974,158.25199999999998
 สนใจติดต่อได้ที่ contact center,158.25199999999998,161.52999999999997
หนึ่ง แปด,161.514,162.874
สิบแปด,163.498,164.25
หรือ หน สอง ห้า,164.394,167.322
ห้า แปด,168.394,169.722
สี่,169.802,170.554
โอ๊ย,170.57,171.418
ค่ะ คุณลูกค้า ยินดี,171.626,173.817
ค่ะ คอนแทคเซ็นเตอร์,173.817,175.642
หนึ่ง,175.914,176.794
แปด,176.97,177.754
แปด,178.986,179.738
หรือ,180.106,180.954
สูตร,181.258,182.138
สอง ห้า,182.122,183.77
ห้า แปด,184.362,185.786
สี่,186.026,186.81
ค่ะ ถูกต้องค่ะคุณลูกค้า,186.858,189.978
ไม่ทราบว่า,190.026,191.322
มีข้อมูลด้านใดสอบถามเพิ่มเติมหรือไม่คะ,191.242,195.077
ยินดีให้บริการค่ะคุณลูกค้าสวัสดีค่ะ,195.077,198.912
