text,start,end
ออ เลนส์ เทเลอร์คอม สวัสดีค่ะ,0.0,2.586
สมุทัยรับจ่าย ยินดีให้บริการ,3.21,6.7059999999999995
ค่ะ ได้ค่ะ ขอทราบหมายเลขสมาชิก,6.7059999999999995,10.202
ขออนุญาตทวนหมายเลขสมาชิกนะคะ,10.186,13.626
สอง สอง สอง,13.898,15.514
สี่ ห้า หก,17.034,18.33
เจ็ด หก ห้า เก้า แปด หก นะคะ,18.25,21.37
ขอ เช็ค รายละเอียด สมาชิก,21.322,23.77
ของลูกค้าสักครู่นะคะ,24.106,26.383000000000003
 ขอบคุณที่ถือสายรอนะคะ,26.383000000000003,28.986000000000004
เลขสมาชิก,29.482,30.842
สอง สอง สอง หก หก หก,30.762,33.466
สี่ ห้า หก เจ็ด หก,33.45,35.88
 ห้า เก้า แปด หก คุณ สม ชาย,35.88,38.714000000000006
ใจชาย นะคะ จาก การ คิด สถานะ,39.018,42.033
 อินเทอร์เน็ต ปกติ นะคะ,42.033,44.378
ติดตั้ง,44.65,45.722
บ้านเลขที่ สี่ สี,45.962,48.442
ครับ หนึ่ง สอง,48.554,50.33
ถนน คลอง ฟรี,50.538,52.218
ไฟแรงน้ำ,52.586,54.17
สี่ สิบ แปด แขวงตลาดบางบึง,54.09,57.493
เขตสะพานสูง,57.493,59.194
กรุงเทพมหานคร รหัสไปรษณีย์,59.242,62.618
หนึ่ง สอง สาม,62.858,64.474
เก้า ศูนย์ ถูก,64.49,66.074
ต้องข้อมูลครบใช่ไหมคะ ต้องการสอบถาม,65.994,69.81
ข้อมูลด้านใดคะ สอบถามได้เลยค่ะ ถ้า,69.81,73.626
ลูกค้า,73.77,74.81
แจ้งว่าใช้งานเดือนนี้สูงกว่าเดือน,74.986,77.965
ที่แล้วที่เคยจ่ายมาใช่ไหมคะคะ,77.965,81.274
คุณลูกค้า,81.226,82.394
ต้องขออภัย ขออภัยใน,82.474,84.785
ความไม่สะดวกด้วยนะคะ,84.785,87.482
ขอ เช็ค,87.562,88.41
ให้ สักครู่ นะคะ คุณ ลูกค้า ค่ะ,88.394,90.97
จาก การ เช็ค ข้อมูล,91.082,93.274
นะคะลูกค้า,93.29,94.874
โปรโมชั่นแพ็คเกจที่ลูกค้าใช้อยู่ค่ะ,95.146,98.65
ปกติแล้วจะเป็นแพ็กเกจ,98.698,101.27399999999999
ราคาหนึ่งพันหนึ่งร้อยบาทค่ะ,101.27399999999999,104.21799999999999
แต่ว่า,104.202,105.178
ลูกค้าได้สิทธิพิเศษ,105.226,108.259
ลดห้าสิบเปอร์เซ็นต์,108.259,110.426
เป็นเวลา สิบห้า เดือน ค่ะ ลูกค้า,110.57,113.562
จึง จ่าย ใน ราคา ห้า,113.738,115.857
 ร้อย ห้าสิบ บาท ค่ะ ตอนนี้,115.857,118.33
