text,start,end
เอไอเอสคอร์เซ็นเตอร์ยินดีให้บริการ,0.0,3.287
ค่ะพนักงานพูดสายอยู่ค่ะ สนใจอยาก,3.287,6.275
จองกี่จิ๊กคะมีให้เลือกหกสิบสี่จิ๊ก,6.275,9.562000000000001
หนึ่งร้อยยี่สิบห้า จิก ค่ะ ถ้าลูกค้า,10.25,13.157
อยากได้ความจำเครื่องเพิ่ม ลูกค้าสามารถซื้อ,13.157,16.354
ความจำได้ใน iCloud ค่ะ ราคาเริ่มต้น,16.354,19.551
ประมาณสามสิบห้าบาท ทุกทุกเดือนค่ะ,19.551,22.458
ส่วน สี ไอแพด ที่ มี ให้ จอง ตอน นี้ คุณ ลูกค้า,22.73,26.578
 สามารถ จอง ได้ ทุก สี เลย ค่ะ มี สี ทาวน์ ชมพู,26.578,30.426
ส่วนสีสเปซเกรย์,30.538,33.144
ทางบริษัท,33.144,35.098
จะเปิดให้จองตอนต้นเดือนหน้า,35.402,38.066
ค่ะราคาจะเริ่มต้นอยู่ที่,38.066,40.730000000000004
สองหมื่นหนึ่งพัน,40.746,42.938
เก้าร้อย บาท ค่ะ สัญญา สิบสอง เดือน,42.858,45.626
และไม่ติดสัญญา,45.546,47.194
จะเริ่มต้นที่,47.146,48.506
สอง หมื่น สี่ พัน,48.458,50.394
เก้าร้อยบาทค่ะ รุ่นนี้,50.314,52.442
จะมีสองรุ่นนะคะ,52.618,54.298
เป็นรุ่นไวไฟ,54.25,55.706
บวก เซลลูลาร์ แล้วก็ ไวไฟ เฉย เฉย,55.658,58.682
 ค่ะ อ๋อ ช่วงนี้ มี ราคา นักศึกษา,58.682,61.706
 ค่ะ ราคา นักศึกษา จะ เริ่มต้น ที่,61.706,64.73
หนึ่งหมื่นสองพันบาทนะคะไม่,64.778,67.20200000000001
ติดสัญญาค่ะแถมแอร์พอร์ตโปร,67.20200000000001,69.62600000000002
ไมโครซอฟท์ออฟฟิศ,69.738,71.13
แล้วก็,71.274,72.186
เคส ให้ ฟรี ด้วย นะคะ มี ค่ะ คุณ ลูกค้า ทาง,72.298,76.038
 เรา ขอ แนะนำ โปร ให้ นะคะ ค่า บริการ ราย เดือน,76.038,80.09
ห้าร้อยก็สิบเก้าบาทค่ะได้อินเทอร์เน็ตสาม,80.138,83.298
สิบกิกาไบต์โทรทุกเครือข่ายหนึ่งร้อยนาที,83.298,86.458
ใช้ไวไฟได้ไม่จำกัด ราคานี้,86.826,89.85
จะไม่ได้ฟรีซิมเบอร์เสริมนะ,89.962,92.063
คะแล้วก็จะไม่ได้รับส่วนลด,92.063,94.426
ซื้อ แอป ใน แอปเปิล ส โต ค่ะ แต่ สามารถ ใช้ แอปเปิล,94.602,98.361
 มิวสิค ได้ นาน สาม เดือน แอปเปิล ทีวี สาม เดือน,98.361,101.583
 และ ไอคาว สาม เดือน ค่ะ มี ค่า ค่า บริการ รายเดือน,101.583,105.073
 หนึ่ง พัน สอง ร้อย บาท นะคะ ใช้ อินเทอร์เน็ต ได้ ไม่,105.073,108.56299999999999
 จำกัด ค่ะ โทร ทุก เครือข่าย ห้า ร้อย นาที ใช้,108.56299999999999,112.05299999999998
 ซูเปอร์ ไวไฟ ได้ ไม่ จำกัด ฟรี ซิม เบิร์ส,112.05299999999998,115.54299999999998
 เสริม หนึ่ง ซิม ค่ะ ได้ รับ ส่วนลด ใน การ ซื้อ แอปเปิล,115.54299999999998,119.03299999999997
ใน แอปเปิล สโตร์ ห้า ร้อย บาท ค่ะ แอปเปิล มิวสิค,119.722,123.41399999999999
 นาน หก เดือน แอปเปิล ทีวี นาน สาม เดือน,123.41399999999999,126.48999999999998
ไอ้คราวสามเดือน,126.73,128.442
และได้คูปอง โคอิเตะ กับ อันติ,128.65,132.002
แอนฟรี ห้าร้อยบาท ค่ะ ได้ค่ะ รบกวน,132.002,135.354
คุณลูกค้าบอกชื่อนามสกุลแล้วก็มหาลัย,135.498,138.862
ที่เรียนอยู่ตอนนี้ให้พนักงานหน่อยนะคะ,138.862,142.226
 รับทราบค่ะ พนักงานขอทวนรายการที่คุณลูกค้า,142.226,146.202
สั่งจองนะคะ ไอแพดแอร์สีเหียว,146.202,148.954
ราคา นักศึกษา หนึ่ง หมื่น,149.258,151.93
สองพันบาท ไม่ติดสัญญา,151.85,154.17
แถม AirPods Pro,154.474,155.994
ไมโครซอฟท์ออฟฟิศ,156.234,157.818
แล้วก็,157.738,158.746
เคส ไอแพด ฟรี และ ค่าบริการ รายเดือน,158.89,162.522
หนึ่งพันสองร้อยบาทรายการสั่งจองถูกต้องนะคะ,162.762,166.471
ตอนนี้ทางเราได้บันทึกข้อมูลลงในระบบ,166.471,170.18
เรียบร้อยแล้วนะคะหลังจากของมาแล้วจะมีพนักงาน,170.18,174.174
โทรไปแจ้งนะคะคุณลูกค้าสามารถไปแจ้งชื่อ,174.174,177.883
และชำระเงินได้ที่สาขา,178.026,180.466
ใกล้บ้านได้เลยค่ะ ราคานี้,180.466,182.906
พนักงานคิดให้เรียบร้อยแล้วค่ะ ไม่มีบวกเพิ่ม,183.274,186.654
