text,start,end
ยินดีให้บริการครับ,0.938,2.426
ไม่ ทราบ ว่า คุณ ลูกค้า ต้อง การ สอบถาม ข้อมูล,2.89,6.087
 เรื่อง ใด ครับ ได้ ครับ ก่อน สนทนา ใน ครั้งนี้,6.087,9.018
จะขอทำการบันทึกเสียงการสนทนา,10.378,13.082
เพื่อใช้ในการปรับปรุงแก้ไข,13.258,15.546
การให้บริการในครั้งถัดไปนะครับ,15.754,18.074
ขออนุญาตนะครับ,17.994,19.098
ครับ ก่อนอื่น ขอ สอบถาม ว่า คุณ ลูกค้า ใช้ ทูล อยู่,19.178,22.874
ครับผม ครับผม,23.594,24.858
แพ็คเกจชมฟุตบอลพรีเมียร์ จะมีทั้งแพ็คเกจ,25.482,29.178
เป็นตลอดฤดูกาล,29.162,31.089
นะครับ Full Season 2022,31.089,33.402
แพ็คเกจ รายเดือน ราย 7 วัน และ รายวัน ครับผม สำหรับรายละเอียด,35.434,39.864999999999995
ของแพ็คเกจ ทรู พรีเมียร์ ฟุตบอล ทั้งหมด มี ดัง,39.864999999999995,43.25299999999999
นี้นะครับ คุณลูกค้า แพ็คเกจ ตลอดฤดูกาล ฟูลซีซั่น,43.25299999999999,47.16199999999999
สองพันยี่สิบสองถึงสองพันยี่สิบสาม,47.37,50.17
"ราคา 2,700 บาท หรือใช้ ทรู พอยท์",50.474,53.95399999999999
" 9,000 ทรู พอยท์ ในการแลกซื้อครับ",53.95399999999999,57.43399999999999
สามารถชมพิมพ์เมอรี่,57.354,58.938
ได้ครบ,58.858,59.674
สาม ร้อย แปด สี่ สิบ สาม,59.594,60.698
ตลอดทั้งฤดูกาลตั้งแต่วันที่ 6 สิงหาคม,61.002,64.474
สอง พัน ห้า ร้อย หก สิบ ห้า,64.586,66.426
พฤษภาคม พ.ศ.2566,67.978,71.034
ซึ่งเป็นการชำระเงินแบบครั้งเดียว,71.082,73.626
ไม่สามารถยกเลิกได้ แพ็คเกจตัวที่สองนะครับ,73.642,76.826
คุณลูกค้า เป็น แพ็คเกจ รายเดือน ราคา,76.842,80.218
สาม ร้อย เก้า สิบ เก้า บาท,80.426,82.106
ต่อเดือน,82.154,82.97
"หรือ ใช้ 1,500 ทูปพอยท์ ในการ",83.242,86.38600000000001
แลก หรือ พาเกจนี้ ลูกค้าสามารถชม,86.38600000000001,89.53000000000002
ทุกพิมพ์มือรี,89.514,90.586
เป็นระยะเวลา 1 เดือน ซึ่งเป็นการชำระเงิน,90.794,94.202
แบบ ตัด เงิน โดย อัตโนมัติ,94.154,96.314
สามารถยกเลิกได้ตลอดเวลา,96.33,99.642
แพ็กเกจตัวที่ 3 นี้นะครับ,99.594,101.434
เป็น แพ็คเกจ ราย สัปดาห์ นะครับ ราคา,101.386,104.634
สอง ร้อย สิบ เก้า บาท,104.906,106.522
หรือใช้ 729 True Point ในการแลกซื้อ คุณลูกค้า,106.858,110.559
สามารถชม True Premier League ได้เป็นเวลา,110.559,113.643
 7 วัน ซึ่งเป็นการชำระเงินแบบครั้ง,113.643,116.727
เดียวไม่สามารถยกเลิกได้ และแพ็กเกจสุดท้าย,116.727,120.428
 เป็นแพ็กเกจ 1 วัน ราคา 179 บาท,120.428,123.512
หรือ ใช้ 499 True Point ในการแลก,123.85,126.508
ซื้อตะเกศ คุณลูกค้าสามารถชม,126.508,129.498
ที่จะส่งผู้เข้าสู่กรมพยาบาล ไปส่งผู้เข้าสู่กรมพยาบาล,129.45,131.002
เป็นเวลา,130.922,131.866
1 วัน,131.882,132.666
ซึ่งเป็นการจำลังเงินแบบครั้ง,133.578,135.778
เดียวไม่สามารถยกเลิกได้ครับ,135.778,137.97799999999998
แรกได้ครับ ถ้าคุณลูกค้ามี,138.218,140.474
ถูก พลอย เพียง พอ ใน การ,141.674,143.802
สำหรับ แรก,144.074,145.722
ก็จะมีการตัดสินใจในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสินในการตัดสิ,145.802,147.386
สามารถแลกได้ทุกพระเกตุเลยครับ,147.626,150.17
คุณลูกค้า สนใจ พิเกียร์ ไหน เป็นพิเศษ,150.378,152.826
ลูกค้าน่าจะ,152.842,155.80700000000002
ไม่สามารถที่จะ,155.80700000000002,159.514
ทำละร่วมกันได้นะครับ ก็คือ คุณลูกค้า,159.722,162.364
จะต้องเลือกทำละอย่างใดอย่างหนึ่ง,162.364,164.346
ถ้าไม่ชำระเป็นเงินสดเต็มจำนวนก็,164.426,168.218
ใช้ ทรูป พลอย ใน การ,168.458,170.074
แรกสินค้า ไม่สามารถ,170.186,172.394
จ่ายเงินสดครึ่งนึง,172.394,174.234
และก็ใช้ True Point ครึ่งนึงในการสำลักให้เกิดนี้ครับ,174.538,177.978
ไม่สามารถทำได้ครับ ผมขอสอบถาม,177.93,180.589
อีกนิดนึงนะครับ ตอนนี้คุณลูกค้ามี,180.589,183.514
2 พอยต์,183.498,184.474
ที่ เท่าไหร่ แล้ว ครับ,184.554,186.01
ก็เกือบครบแล้วนะครับ ผมแนะนำให้คุณลูกค้า,186.442,190.00400000000002
นะครับ ใช้บริการอื่นๆของทรูนะครับ,190.00400000000002,193.01800000000003
เพื่อสะสมแต้มเพิ่มนะครับจนกว่า,193.354,196.09
ขายนะครับ,196.874,197.69
"จะครบ 9,000 แต้ม พอลูกค้ามีแต้มครบ",198.026,201.53
"เมื่อราคาถึง 9,000 แต้มแล้ว ลูกค้าก็สามารถ",201.706,203.962
ไปแลกซื้อแพ็กเกจ ทูล ค ริ มิ ลี ได้,205.994,208.57
ฟู ซี ตัน,209.194,210.394
สอง พัน ยี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สิบ สี่ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ,210.666,211.418
แพ็กเกจนี้ คุณลูกค้าสามารถ,213.226,216.161
แลกได้ตลอดทั้งปีเลย,216.161,218.362
จนกว่าจะจบซีซั่นนะครับ,218.634,220.826
ก็คือ ลูกค้า,221.002,224.06300000000002
สามารถ,224.06300000000002,225.59400000000002
ใช้ แต้ม แรก ซื้อ แพ็คเกจ นี้ ตั้งแต่ วัน ที่,225.93,229.69
พศ สอง ห้า,231.626,233.082
จนถึงวันที่ 81 พฤศจิกรรม,234.858,237.146
พฤษภาคม นะครับ ภูมิภาค,237.194,240.402
 2566 ถึงพฤษภาคมปีหน้า,240.402,243.60999999999999
ผู้ลูกค้าสามารถ,243.594,244.762
แรกได้ตลอดเลยนะครับจนกว่าดาวน์,244.97,247.034
จะถึงวันเวลาที่กำหนดนะครับผมก็,247.37,250.362
คุณลูกค้า,252.202,253.146
ถ้าช่วงนี้คุณลูกค้ายังมีแต้ม,253.674,256.91
ไม่พอนะครับ ก็คุณลูกค้าสามารถ,256.91,260.50600000000003
เลือกสะเกษที่,260.714,262.074
ลดลงมา,261.994,262.906
