text,start,end
สวัสดีครับ DetacCort Center ยินดีให้บริการครับ,0.0,3.738
เน้นทราบว่าต้องการให้เราช่วยเหลือในเรื่องใดครับ ตอน,3.914,6.868
นี้กำลังเรียนสายกับคุณนาไรอยู่ครับ ครับคุณพลอย,6.868,9.822000000000001
 ตอนนี้นะครับทางโปรโมชั่นของดีแทคของเราล่ะครับ,9.822000000000001,12.987000000000002
จะเป็น iPad Gen 10 นะครับ,12.906,14.81
ไม่ทราบว่าคุณพอร์ตได้ทำการดูรายละเอียดของ,14.922,17.606
โปรโมชั่นของทางเรามาหรือยังครับไม่ทราบว่าคุณ,17.606,20.496000000000002
พอร์ตต้องการสอบถามข้อมูลอะไรเพิ่มเติมเกี่ยวกับตัว,20.496000000000002,23.386000000000003
iPad ของทางเรา มั้ยครับ ใช่ครับ แต่ว่า,23.434,26.435000000000002
ตอนนี้ iPad Gen 10 ความจำ 256,26.435000000000002,28.89
หมดชั่วคราวนะครับ เหลือแค่ความจำ 64GB เท่านั้น,28.938,31.823
นะครับ ต้องขออภัยจริงๆนะครับ พอดีตอน,31.823,34.708
นี้ iPad ของเรามีคนสั่งเพลงจำนวนมาก,34.708,37.592999999999996
ทำให้ตอนนี้ของค่อนข้างขาดตลาดเลยนะครับ ใช่ครับตอนนี้เหลือ,37.642,41.498000000000005
แค่ความจำ 64GB เท่านั้นนะครับ ต้องขออภัยคุณพอจริงๆนะครับ,41.498000000000005,45.354000000000006
ตอนนี้ทางเราไม่ทราบเลยครับว่าจะมีของมาเพิ่มอีกตอนไหน,45.354000000000006,49.21000000000001
ไม่ทราบว่าคุณพลอยพอจะ,49.226,50.97
จำเป็นต้องใช้ iPad ของทาง Apple อย่างเดียว,50.954,53.498
ใช่ไหมครับ พอจะทำจอจะเป็นแทปเล็ตของค่าย,53.61,56.613
อื่นพอได้อยู่ไหมครับ ทางเราต้องขออภัยคุณพอ,56.613,59.616
จริงๆนะครับ ที่ตอนนี้ของขาดตลาดจริงๆครับ,59.616,62.619
มันจะมาทำการสั่งซื้อตามที่คุณต้องการได้ครับ,62.794,65.946
ไม่ทราบว่าคุณพอลต้องการความเชื่อเหลือในด้านใดอีกไหมครับ,65.962,69.569
 ใช่ครับ จะสามารถใส่ซิมได้นะครับผม ตอนนี้ทาง ipad air,69.569,73.402
หลังจากที่ผมสร้างการเช็คสต็อกมาแล้วครับ,73.354,75.834
มี M296GB ยังเหลืออยู่นะครับครบทุกสีเลยด้วย,75.786,79.482
ไม่ทราบว่าคุณพลอยพอจะเปลี่ยนเป็น iPad Air ได้ไหมครับ คุณพลอย,79.434,83.25
สามารถทำการสั่งซื้อผ่านทางเว็บไซต์ของเราได้เลยนะครับ,83.25,86.842
เพราะว่า Call Center ของเราไม่,86.826,88.761
สามารถทำการสั่งซื้อได้นะครับ,88.761,90.938
จะต้องทำการสั่งซื้อผ่านทางออนไลน์หรือทางหน้าร้านเท่านั้นนะครับ,90.954,94.938
ทางเราจะแนะนำได้แค่ทางโปรโมชั่นนะครับ ได้เลยครับ เดี๋ยว,95.082,98.434
ทางเราจะทำการช่วยในการให้ข้อมูลกับทางคุณพอนะครับ,98.434,101.786
ไม่ทราบว่า,101.962,103.034
คุณ พลอย สะดวก สั่ง ซื้อ ผ่าน ทาง ออนไลน์ หรือ ผ่าน ทาง หน้า ร้าน ครับ,102.954,106.482
 ไม่ ทราบ ว่า คุณ พลอย มี ข้อ สงสัย เพิ่ม เติม เกี่ยวกับ การ สั่ง ซื้อ ผ่าน,106.482,110.23
 ทาง ออนไลน์ ไหม ครับ คุณ พลอย ถ้า เกิด มี ข้อ สงสัย อะไร เพิ่ม เติม,110.23,113.97800000000001
สามารถสอบถามได้เลยนะครับ,114.058,115.866
หรือไม่ก็คุณพรสามารถแอด LINE DETAGE,115.946,118.482
 ของเรา เพื่อสอบถามข้อมูลเพิ่มเติมได้เลยนะครับ,118.482,121.018
มี admin คอยตอบคำถามหรือข้อสงสัยของคุณพลอยได้,121.034,124.55900000000001
ตลอด 24 ชั่วโมงนะครับ ใช่ครับ แล้วมี admin คอยตอบปัญหา,124.55900000000001,128.31900000000002
หรือข้อสงสัยกับลูกค้าของเราตลอด 24 ชั่วโมงครับ,128.31900000000002,131.609
เป็นอีกช่องทางหนึ่งสำหรับในการติดต่อของเรา,131.626,134.586
นอกเหนือจากการโทรมาที่ คอนเซ็นเตอร์ของเรา,134.57,137.106
ครับ ใช่ครับ ก็จะมีสิทธิประโยชน์มากมาย,137.106,139.642
ช็อป ได้ 24 ชั่วโมง ประกัน ศูนย์ นาน 12 เดือน,139.69,143.194
ส่งเครื่องซ่อมได้ถึงบ้านเลยนะครับ,143.178,145.114
ผ่อน 0% นานสูงสุด 24 เดือนขึ้นไป อยู่กับบัตรเครดิต,145.066,148.986
หรือบัตรแจกเงินสดที่ร่วมรายการนะครับ,148.938,151.258
ขอ ทาง เรา ก็ ส่ง ฟรี,151.178,152.89
ทั่วประเทศด้วยนะครับและระยะเวลา,153.002,155.229
ในการจัดส่งมีที่สามถึงห้าวันทำการณ์,155.229,157.65800000000002
ไม่รวม,157.642,158.426
เสาร์ อาทิตย์ และ วันหยุด นักคันตฤกษ์ นะครับ ใช่ครับ คุณพลอย,158.442,161.651
 ถ้าเป็นราคานักศึกษา จะต้องซื้อ กับ ทางศูนย์,161.651,164.43200000000002
แอปเปิ้ล อย่างเดียวเท่านั้นนะครับ ทางเหล่า ไม่มีโปรโมชั่น,164.43200000000002,167.64100000000002
แบบนักศึกษานะครับ,167.562,168.89
แต่ว่าถ้าคุณบอร์ดใช้เบอร์รีแทรก ก็จะได้,169.002,171.12900000000002
รับสิทธิประโยชน์สำหรับลูกค้ารีแทรกครับผม,171.12900000000002,173.43400000000003
ไม่ทราบว่าคุณพลอยใช้เบอร์ติแทค,173.706,176.10299999999998
อยู่หรือเปล่าครับ คุณพลอย ถ้าเกิด,176.10299999999998,178.23399999999998
คุณพอร์ตเป็นลูกค้าของ Detect ของเรานะครับ,178.378,181.05
ของเราจะมีโปรโมชั่นพิเศษให้กับทางคุณพลอยนะครับ,181.226,184.218
ซึ่งรายละเอียดก็ขึ้นอยู่ที่หน้าเว็บไซต์ของทางเราเลยนะครับ,184.298,187.93
สามารถสั่งซื้อผ่านช่องทางออนไลน์ สามารถสั่ง,187.946,190.546
มาเว็บไซต์ของเราได้เลยนะครับ ได้ทราบว่า,190.546,193.146
คุณพอร์ตมีข้อสงสัยอะไรเพิ่มเติมอีกไหมครับ,193.146,195.962
ขอบคุณคุณพลอยมากเลยนะครับที่,195.914,197.87699999999998
มาติดต่อมายังคอร์เจนเตอร์ของเรา,197.87699999999998,200.058
ขอบคุณที่ไว้วางใจที่แดดของเรานะครับ,200.202,202.394
ก่อนวางสาย,202.474,203.61
รบกวนคุณพลอยให้คะแนนการบริการในครั้งนี้ด้วยนะครับ,203.594,206.682
ขอบคุณมากครับ ครับ สวัสดีครับ,206.794,209.147875
