text,start,end
ทุกคน ไป ไหน,0.778,1.85
ให้บริการค่ะ,2.346,3.674
ไม่ทราบว่าคุณลูกค้าต้องการสอบถามข้อมูล,3.722,6.619
เรื่องใบค้า ด้วยความยินดีค่ะ คุณลูกค้า,6.619,9.274
คุณลูกค้าสนใจเป็นรุ่นไหนคะ,9.386,11.77
ตอนนี้ ที่ ทาง เรา มี วางขาย จะ เป็น รุ่น แอปเปิล,11.786,14.759
 วอ ช เอส อี สอง แอปเปิล วอ ช แปด,14.759,17.274
แล้วก็ แอปเปิล วอ สอัล ตรา ค่ะ ได้ เลย ค่ะ,17.45,20.378
คุณลูกค้า,20.586,21.498
อัปเปิลวอสตาร์,21.61,22.522
จะ ราคา เริ่มต้น อยู่ ที่ หนึ่ง หมื่น สอง พัน เก้า ร้อย,22.762,25.73
 บาท ค่ะ สำหรับ ลูกค้า รายเดือน ปัจจุบัน อายุ การ,25.73,28.926000000000002
 ใช้งาน หนึ่ง ปี ขึ้นไป ที่ ไม่ มี สัญญา การ ใช้งาน,28.926000000000002,32.122
จะ ได้ ราคา หนึ่ง หมื่น บาท,32.234,33.722
สอง พัน เก้า ร้อย หาก ใช้ หรือ สมัคร,33.962,36.57
แพ็คเกจ รายเดือน หกร้อย เก้า สิบ เก้า บาท ขึ้น,36.554,39.106
ไป โดย จะ ติด สัญญา สิบ สอง เดือน ค่ะ ถ้า,39.106,41.658
ถ้าอย่างนั้น คุณลูกค้าสามารถรับ,41.674,44.122
สิทธิพิเศษนี้ เป็นราคานี้ได้เลยค่ะ สำหรับ แพ็คเกจ,44.234,48.186
5G Ultra Max,48.17,50.083
 Speed Pro ราคา 699 บาท,50.083,52.378
จะ ได้ ใช้ เน็ต ห้า จี และ สี่ จี,52.362,54.778
ความเร็วสูงสุด จำนวน หกสิบ นาที,54.794,56.89
ต่อ เดือน,57.098,57.978
โทร ทุก ควัน ขาย สาม ร้อย นาที,58.346,60.378
มี ทุก สิ่ง ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ที่ มี ความ สำคัญ ,60.65,61.978
ได้ สิทธิพิเศษ ซื้อ อาทิตย์ ลด ราคา ห้าสิบ เปอร์เซ็นต์,62.122,65.274
และ คอนเทนต์,65.29,66.138
R.V.R. ค่ะ,66.698,67.802
ได้ ค่ะ,67.722,68.634
ดิฉัน รบกวน ขอ ชื่อ และ,69.674,71.772
 เบอร์ โทร เพื่อ ตรวจสอบ สิทธิ์ ด้วย ค่ะ,71.772,74.17
นี่ เลข โอทีพี,82.442,83.354
สะดวก ทำ รับ เป็น บัตร เครดิต หรือ บัตร,87.146,89.634
 เดบิต คะ ตอนนี้ ทาง เรา จะ มี เป็น,89.634,92.122
กับธนาคารพาณิชย์,94.41,96.41
กสิกร โกง ศรี และ ซิตี้ แบงค์,96.618,99.034
และสำหรับธนาคารกสิกรหากคุณ,99.21,101.818
ลูกค้า แลก แต้ม เท่า ยอด ซื้อ จะ ได้ รับ,101.93,104.528
 เครดิต อย่าง คือ สิบ เปอร์เซ็นต์ ค่ะ ได้ เลย ค่ะ,104.528,107.38600000000001
สรุป รายการ นะคะ,107.498,109.37
คุณลูกค้า ต้องการ จะ ซื้อ แอปเปิล วอ ช แปด ราคา หนึ่ง บาท ครับ,109.514,112.986
เก้า ร้อย บาท,113.482,114.554
เลือก เป็น แท็กเกจ,114.474,115.962
ห้า จี อัลตรา แม็กซ์ ปิด,116.362,118.138
ราคา หกร้อย เก้า สิบ เก้า บาท,118.922,120.842
 ซึ่ง จะ มี เน็ต ห้า จี และ สี่ จี,120.842,123.002
ความเร็วสูงสุด,122.986,124.122
ชิค ต่อ เดือน,125.098,126.074
พอ ซุกเคิล ถ่าย สาม ร้อย นาที ลูกค้า จะ ใช้ เป็น,126.026,129.626
บัตรกสิกรในการผ่อนค่ามือถือศูนย์เปอร์เซ็นต์,129.674,132.82500000000002
สิบเดือน ข้อมูลถูกต้องไหมคะ ได้ค่ะ,132.82500000000002,135.45000000000002
แต่เพื่อจะแลกแต้มรับเครดิตอย่างคืนได้,135.626,138.251
 ลูกค้าต้องลงทะเบียนผ่านเอสเอ็มเอสด้วยค่ะ,138.251,141.114
ส่ง ไป ที่ เบอร์,141.354,142.778
สี่ ห้า หก,142.922,144.314
สี่ ห้า หก ข้อความ ที แจ เวน วัฟ,144.266,147.482
และ ตาม ด้วย เลข ท้าย บัตร คดี สี่,147.562,150.055
 หลัก ค่ะ ได้ ค่ะ โอเค ค่ะ,150.055,151.994
สำหรับการชำระเงินขอทราบหมายเลขบัตรเครดิตและ,152.074,155.65
วันหมดอายุหน้าบัตรด้วยค่ะ ขอบคุณค่ะ เลขบัตรเป็น,155.65,159.226
สอง สาม สี่,159.85,161.434
สาม สาม,161.386,162.33
สี่ สี่,162.25,163.162
ห้า ห้า หก หก,163.466,165.082
เจ็ด เจ็ด,165.386,166.234
แปด แปด,166.186,167.098
หมด อายุ เดือน ตุลาคม ปี สอง พัน สามสิบ,167.306,170.33
ทางเราได้บันทึกข้อมูลให้เรียบร้อยแล้วนะคะ,170.538,173.466
ลูกค้าสรุปจะส่งช่องทางไหนดี,173.578,175.986
คะ เดี๋ยวขอเช็คสต็อกให้ก่อนนะคะ,175.986,178.39399999999998
คุณลูกค้าสะดวกไปรับที่สาขาใดคะ,178.41,180.826
ได้ ค่ะ ตอนนี้ เช็ค ที่ สาขา,180.778,183.226
ยังมีของอยู่นะคะ,183.338,184.986
ตอนนี้ จะ เหลือ ตัว เครื่อง สี ดำ และ สี ซิลเวอร์,185.002,188.922
คุณลูกค้าต้องการ,188.938,190.106
รับเป็นสีใดดีคะ ได้บอกให้เจ้าหน้าที่สาขาเตรียมไว้ให้,190.154,193.914
ได้เลยค่ะ,193.866,194.938
ดำเนินการเรียบร้อยแล้วค่ะ,195.274,196.986
คุณลูกค้าสามารถไปรับเครื่องวันนี้ได้เลยค่ะ,197.13,199.866
ไม่ ทราบ ว่า มี บริการ ด้าน ใด,199.946,201.881
 อยาก ให้ ช่วย อีก มั้ย คะ โอเค ค่ะ,201.881,204.058
ขอบคุณ ที่ แชร์ บริการ กับ ทรู มู พ ริ ช ครั้งนี้,204.17,207.418
ก่อน วางสาย รบกวน ให้คะแนน,207.434,209.442
 กับ การบริการ ครั้งนี้ ด้วย ค่ะ,209.442,211.45000000000002
