text,start,end
สวัสดีค่ะ เอไอเอส เซอร์วิส หรือ อเมริกา ไม่ทราบว่า,0.0,3.551
คุณลูกค้าต้องการให้ใต้ที่ชื่อหลายวันใดค่ะ ด้วยความยินดี,3.551,7.324
ค่ะคุณลูกค้า วันนี้ไม่ทราบว่าเรียนไหนแต่คนอะไรค่ะ,7.324,10.875
ขอบคุณสำหรับข้อมูลค่ะคุณลูกค้าไม่ทราบว่าคุณลูกค้าสนใจ,10.858,14.746
โทรศัพท์มือถือยี่ห้อไหนคะทาง,14.698,17.266000000000002
เอเอสของเรามีโทรศัพท์มือถือ,17.266000000000002,19.834000000000003
แก รน,19.754,20.57
แอปเปิล ซังตู,20.682,22.906
หัว เว้ย,22.858,23.866
คอปโป้ แล้วก็ วีวอล วิลล์ มี,23.85,27.098
เดี๋ยว มี วัน พาร์ ด รวมทั้ง เอสุทธิ์ ค่ะ,27.082,30.714
โดยที่ขออนุญาตเสนอโทรศัพท์,30.986,33.242
หรือที่กำลังเป็นที่นิยมในขณะ,33.386,36.167
นี้ให้กับทางกลูคานะคะเริ่มต้นที่,36.167,39.226
iPhone 14 164GB ราคาเริ่มต้น,39.178,42.959999999999994
"ที่ 1,199 บาทค่ะ เรทมี 10 สิบ",42.959999999999994,47.16199999999999
ภาษี,47.21,48.346
"ราคาเริ่มต้นที่ 1,234 บาท",48.266,52.058
ลำพูงกาแล็กซี่เอสิบสาม,52.106,54.394
ราคา เริ่มต้น ที่ หนึ่ง พัน สอง ร้อย เก้า สิบ บาท,54.474,57.498
สุดท้ายจะเป็นวีโฮลด์ไวน์สาม,57.578,60.114000000000004
ศูนย์ห้าทีฮะค่ะเริ่มต้นที่,60.114000000000004,62.650000000000006
สองพันสองร้อยแปดสิบเก้าบาทค่ะคุณลูกค้า ค่ะ,62.666,66.298
ซื้อโทรศัพท์กับทาง ais จะได้รับ,66.346,68.855
ส่วนลดค่าเครื่องพิเศษมากกว่าที่อื่น,68.855,71.64200000000001
เพียงชำระเข้าบริการล่วงหน้าและสมัครแพ็กเกจที่กำหนด,71.658,75.322
ซื้อ แพ็คเกจ จาก เอไอเอส นอกจาก ภาระ หก,75.402,78.42
 ค่า โทร และ เม็ด ที่ จอม เป็น ต่อ การ ใช้ โทรศัพท์ แล้ว,78.42,81.69
ยังมีสิทธิพิเศษอื่น ๆ พร้อมเติม,81.674,84.09
เอ เอส ซุปเปอร์ ไวไฟ สิทธิ เซ เร เน ย์ ยู,84.746,88.457
 ทูป พรีเมี่ยม เคร พรีเมี่ยม,88.457,90.842
และอื่นอื่นอีกมากมายตามเงื่อนไข,90.762,93.468
แต่ละแพ็คเกจได้เลยค่ะ ลูกค้า ค่ะ,93.468,96.474
ผู้ใช้หนึ่ง,96.458,97.594
หนึ่ง หมายเลข บัตรประชาชน,98.282,100.25
รับ สิทธิ ซื้อ เครื่องโทรศัพท์ ราคา,100.202,102.447
 พิเศษ ได้ ไม่ เกิน สอง สัญญา,102.447,104.44200000000001
นี่หมายความว่า,104.426,105.786
หมายเลขโทรศัพท์,105.802,107.29
รับ สิทธิ์ ซื้อ ได้ หนึ่ง เครื่อง กรณี,107.274,109.916
 ผู้ ใช้ บริการ ต้องการ,109.916,111.898
ยกเลิก บริการ หรือ ขอยกเลิก สัญญา,111.882,114.682
ปอนด์ครบกำหนด,114.602,115.898
บริษัทขอสมวนสิทธิ์เรียกเก็บเงินคืนค่า,115.85,118.90599999999999
ปรับเท่ามูลค่าส่วนลดค่าเครื่องที่ลูกค้าได้,118.90599999999999,122.24
รับค่ะ ยกเว้นฮอตยีลเปิดเบอร์ใหม่หนึ่งบัตร,122.24,125.29599999999999
ประชาชนรับหนึ่งสิบหมายเลขโทรศัพท์ซื้อได้,125.29599999999999,128.63
หนึ่งเพิ่มเท่านั้นค่ะ ค่ะ คุณลูกค้ายินดีค่ะ,128.63,131.964
ใน ส่วน ของ ไอโฟน สิบ สี่ หนึ่งร้อย หก สิบ สี่ กิกะไบต์ ราคา,132.042,136.443
 ปกติ อยู่ ที่ สาม หมื่น สอง พัน เก้า ร้อย บาท,136.443,139.29000000000002
โดยราคาพิเศษจากทางเอเอฟ,139.274,141.786
จะ อยู่ ที่ สอง หมื่น แปด พัน,141.898,144.282
ขอบคุณค่ะ,145.002,145.85
สอง หมื่น แปด พัน สาม ร้อย บาท,145.802,147.674
"และ 25,700 บาท ค่ะ",147.658,150.202
โดยต่างกันที่แพ็คเกจของอินเทอร์เน็ต,150.218,152.666
และ ค่าบริการ ล่วงหน้าที่,152.714,154.588
 ลูกค้า เลือก ที่จะชำระ ค่ะ,154.588,156.73
ไม่ทราบว่า คุณลูกค้า,156.938,158.554
คำร้ายราคาค่าเครื่องพิเศษ,159.114,161.05
ที่ ราคา เท่าไหร่ คะ,161.034,162.586
