text,start,end
สวัสดีครับ,0.0,0.762
ส่วนบริการ D-Tax ยินดีให้บริการ,0.746,3.194
ไม่ทราบว่าติดต่อเรื่องไหนครับ ได้ครับคุณลูกค้า,3.21,6.49
ขอทราบเป็นหมายเลขโทรศัพท์ของคุณลูกค้า,6.634,9.893
 เดี๋ยวจ้องที่ตรวจสอบให้ ขออนุญาต,9.893,12.559000000000001
ตรวจสอบสักครู่ คุณที่ถือขายรอ,12.559000000000001,15.225000000000001
เจ้าหน้าที่เรียนสายอยู่,15.242,17.378
กับคุณ พึ่งน้อย กล่อใจ,17.378,19.514
จากที่ตรวจสอบ ตอนนี้แพ็กเกจของคุณลูกค้าจะเป็นตัว,19.562,22.97
5G Max Speed,23.114,24.442
ค่าบริการรายเดือน เดือนละ 349 บาท,24.522,27.866
โทรฟรี 100 นาที,28.17,29.882
สามารถ ใช้ สัญญาณ 5G ได้ 20 ชั่วโมง,29.994,32.41
กิโลเมตร ที่ ความเร็ว สูง สุด,32.33,34.298
สิบสองเมกะบิตร หากคุณลูกค้าต้องการใช้งานอินเทอร์เน็ตเพิ่ม,34.314,38.082
ขึ้น เจ้าหน้าที่แนะนำคุณลูกค้า อัพแพ็กเกจขึ้นมาเป็นเดือนละ,38.082,41.85
449 บาท คุณลูกค้าจะสามารถ,42.026,44.663000000000004
เล่นอินเทอร์เน็ตสัญญาณ 5G ได้,44.663000000000004,47.300000000000004
 30 GB ที่ความเร็วสูงสุด 100 Mbit,47.300000000000004,50.266000000000005
และสามารถโทรฟรีได้ 200 นาที,50.41,52.599999999999994
 ครับคุณลูกค้า รับทราบครับคุณลูกค้า,52.599999999999994,55.03399999999999
ถ้าอย่างนั้น เจ้าหน้าที่ขอเสนออีก,55.178,57.519999999999996
แพ็กเกจหนึ่งในราคาเดือนละ 599 บาท,57.519999999999996,60.12199999999999
คุณลูกค้าสามารถใช้งานอินเทอร์เน็ตสัญญาณ 5G ได้ถึง,60.266,63.706
50 GB,63.882,65.21
โทรฟรี ได้ 300 นาที,65.226,67.212
 เดือน ละ 599 บาท คุณลูกค้า,67.212,69.53
เพิ่มจากกัน,69.546,70.394
เพิ่มจากแพ็กเกจปัจจุบันของคุณลูกค้าขึ้น,70.41,73.362
มาเพียง 250 บาทเท่านั้นครับ ได้ค่ะคุณลูกค้า,73.362,76.314
เจ้าหน้าที่ขอสร้างวันเดือน ปีเกิด พร้อมทั้งหมายเลขบัตรประชาชน,76.426,80.358
ของคุณลูกค้า เพื่อทำการเปลี่ยนแปลงแพ็คเกจ ครับคุณลูกค้า,80.358,83.828
 เดี๋ยวเจ้าหน้าที่ทำการเปลี่ยนแปลงแพ็คเกจให้เลยนะครับ,83.828,87.066
ขอขอบคุณที่,87.114,89.23400000000001
รอคุณลูกค้า,89.23400000000001,91.35400000000001
เจ้าหน้าที่ได้ทำการเปลี่ยนแปลงให้คุณลูกค้าเรียบร้อยแล้วครับ,91.594,95.418
เดี๋ยวจะมีข้อความส่งหาเบอร์คุณลูกค้า เพื่อยืนยัน,95.658,99.119
การเปลี่ยนแปลงแพ็คเกจ ในส่วนของค่าบริการเดือน,99.119,102.086
นี้ ทาง Dtac จะทำการเฉลี่ยราคาของแพ็คเกจเก่า,102.086,105.3
กับแพ็คเกจใหม่ ตามวันที่มีการเปลี่ยนแปลงแพ็คเกจให้,105.3,108.761
คุณลูกค้าสามารถชำระตามรอบบิล,109.066,111.268
ปกติได้เลยครับยินดีครับคุณลูกค้า,111.268,113.69
ไม่ทราบว่าต้องการติดต่อส่วนไหนเพิ่มเติมไหมครับ,113.738,116.578
 ขอบคุณที่ไว้วางใจใช้บริการจาก DTAC นะครับ,116.578,119.418
ก่อนวางสายรบกวนคุณลูกค้าให้คะแนนความ,119.626,121.87400000000001
พึงพอใจในการบริการครั้งนี้ด้วยนะครับ,121.87400000000001,124.12200000000001
ขอบคุณครับ สวัสดีครับ,124.298,125.603875
