text,start,end
สวัสดีค่ะ,0.0,1.178
ครู ยินดีให้บริการ ไม่ ทราบ ว่า วันนี้ คุณ ลูกค้า,1.29,4.7
 ต้องการ ให้ ช่วยเหลือ ด้าน นายค้า ด้วย ความยินดี ค่ะ,4.7,7.866
ไม่ ทราบ ว่า ลูกค้า สนใจ เบอร์ ทอ ปกติ,8.106,11.546
หรือ เบอร์ มงคล เป็นพิเศษ นะคะ ค่ะ เรา จะ มี,11.69,15.634
 เบอร์ มงคล แห่ง อำนาจ วาสนา เงิน ก้อน โต นะคะ,15.634,19.578
ที่ กำลัง ได้รับ ความนิยม อยู่ ตอนนี้ เลย,19.722,23.14
 ค่ะ ได้ เลย ค่ะ ลูกค้า มี ชอบ เบอร์ ไหน เป็นพิเศษ,23.14,26.842
หรือ ต้องการ ผล รวม เท่า,27.05,29.096
ไหร่ กำหนด มั้ย คะ นี่ ค่ะ,29.096,31.482
ขออนุญาตตรวจสอบให้นะคะ รบกวนถือสาย,31.722,34.802
ล้อสักครู่ค่ะ ขอบคุณที่ถือสายล้อนะคะ,34.802,37.882
สำหรับผลรวมเสริมเรื่อง,38.218,40.666
เงินทอง โชคลาภ ความสำเร็จ,40.746,43.482
เป็น ผล รวม ห้า สิบ ห้า นะคะ ตอนนี้,43.754,47.194
เล่น รายการ เบอร์ ใน หมวด,47.306,49.338
ขวดนี้,49.578,50.682
ที่ มี หมายเลข เจ็ด มา ให้ แล้ว ค่ะ,50.602,53.21
ขออนุญาตส่งลิงก์เบอร์ทั้งหมดไปให้คุณลูกค้าเลือก,53.514,57.242
ที่ ข้อความ เบอร์ นี้ นะคะ ส่ง ไป,57.258,60.115
 แล้ว ค่ะ ลูก คลิก ที่ ลิงค์ ได้ เลย นะคะ,60.115,63.29
ถูก ใจ เบอร์ หนา อันนี้ แจ้ง หมาย เลข ได้ เลย ค่ะ ได้,63.562,67.19
 เลย ค่ะ สำหรับ ตอนนี้ มี โปรโมชั่น พิเศษ นะคะ,67.19,71.098
เซ็น การ์ด ไม่ มี ค่าใช้จ่าย ค่ะ,71.338,73.722
