text,start,end
สวัสดีค่ะ นิชา รับสายยินดีให้บริการ วันนี้ต้องการ,0.0,3.956
สอบถามข้อมูลด้านใดดีคะ ด้วยความยินดีเลยค่ะ,3.956,7.417
 ไม่ทราบว่าตอนนี้นิชาเรียนสายอยู่กับคุณอะไรคะ,7.417,11.125
 ค่ะ สวัสดีค่ะ คุณกานิก้า นิชาขอสอบถามข้อมูล,11.125,14.833
เพิ่มเติมหน่อยนะคะ คุณกานิก้าต้องการอินเทอร์เน็ตราคา,14.833,18.789
ประมาณไหนคะ มีค่ะ คุณกานิก้า นิชาขอเสนอ,18.789,22.25
แพ็คเกจ ห้า จี เน็ต อัลตรา แม็ก สปีด ราคา ห้า,22.25,25.958
 ร้อย เก้า สิบ เก้า บาท อินเทอร์เน็ตแพ็คเกจสุดคุ้มสำหรับแพ็คเกจ,25.958,29.913999999999998
คู่ ที่ ใช้ งาน แท็บ เน็ต โดย เฉพาะ เลย นะ,30.218,32.908
คะ ซึ่ง จะ ได้ ปริมาณ อินเทอร์เน็ต ความเร็ว,32.908,35.866
สูงสุดถึงจำนวนห้าสิบ กิกะไบต์ และ สามารถใช้,35.786,39.218
งานได้ที่ความเร็วสูงสุดหนึ่ง กิกะบิต เพอร์เซ็นต์ ค่ะ,39.218,42.650000000000006
รวมถึงจะได้รับบริการไวไฟไม่จำกัดฟรีเลย,42.826,46.335
ค่ะ มีค่ะคุณกรณิกาสำหรับแพ็กเกจ 5G เน็ตอัลตราแม็กสปีด,46.335,50.596000000000004
นี้มีสิทธิพิเศษเพิ่มเติมดังนี้นะ,50.596000000000004,53.353
คะ สิทธิพิเศษแรกจะเป็นการรับสิทธิชมแพ็กเกจ,53.353,57.113
true ID สำหรับดูบน,57.034,59.202
โทรศัพท์มือถือแท็บเล็ต,59.202,61.37
หรือ เว็บไซต์ ค่ะ,61.386,62.746
สิทธิพิเศษ ที่สอง จะ ได้ สิทธิ,62.986,65.562
รับ ชม แพ็คเกจ,65.706,67.002
ทรู ไอ ดี พลัส,67.114,68.442
สำหรับ ดู บน โทรศัพท์มือถือ,68.586,70.938
หรือ แท็บเล็ต,70.922,71.898
หรือสามารถเข้าชมผ่านเว็บไซต์ได้เช่นกัน,71.85,74.65799999999999
เลยค่ะ สาม รับสิทธิพิเศษ to unlock,74.65799999999999,77.46599999999998
ปลดล็อกคอนเทนต์ดูได้ฟรีฟรีผ่านมือถือค่ะ สิทธิพิเศษต่อ,77.546,81.49000000000001
มานะคะจะเป็นรับสิทธิส่วนลดค่าบริการห้าสิบเปอร์เซ็นต์,81.49000000000001,85.43400000000001
สมัครดูแอปคอนเทนต์วีไอยูราคา,85.578,88.467
เพียงห้าสิบเก้าบาทต่อเดือน,88.467,90.49
จากราคาปกติที่ต้องจ่ายอยู่ที่หนึ่งร้อยสิบเก้าบาทต่อ,90.41,94.11999999999999
เดือนนะคะแล้วก็สิทธิพิเศษนะคะที่ห้าเลยก็คือจะ,94.11999999999999,98.06199999999998
เป็นรับสิทธิพิเศษส่วนลดค่าบริการห้าสิบเปอร์เซ็นต์สำหรับ,98.06199999999998,102.00399999999999
สมัครแอปพลิเคชันวีทีวีราคาเพียงหกสิบสี่บาทต่อเดือน,102.00399999999999,105.946
จาก ราคา ปกติ หนึ่งร้อย ยี่สิบ เก้า บาท,106.058,109.096
 ต่อ เดือน ค่ะ สำหรับ แพ็คเกจ ไวไฟ นะคะ,109.096,112.41
สามารถเลือกใช้บริการไวไฟชื่อ,112.746,115.93
แอด ไซ ต์ ทูล,116.65,118.106
เอช,118.058,119.034
ได้เลยค่ะ,118.986,120.026
ก็คือเวลาเราไปในพื้นที่ที่,120.106,122.628
มีไวไฟของ tomoblock ค่ะ สามารถเลือก,122.628,125.402
ตัวชื่อไวไฟเนี้ยค่ะ เราก็กดเชื่อมต่อได้เลย,125.514,128.346
เมื่อกดเชื่อมต่อขึ้นมาแล้วนะคะ ทางระบบเขาจะ,128.81,132.29
เด้งหน้าต่างขึ้นมาให้กรอกยูเออร์เนมและพาสเวิร์ดค่ะ,132.29,135.76999999999998
คุณกรณิกาสามารถใช้หมายเลขโทรศัพท์กรอก,135.85,139.129
เป็นยูสเตอร์เนม แล้วก็ขอรับพาสเวิร์ดนะคะ ผ่าน,139.129,142.682
เครื่องหมาย ดอกจันทร์,142.986,145.242
แปด เจ็ด หนึ่ง,145.354,146.682
ดอกซันสี่ แล้วก็สี่เหลี่ยมโทรออกได้เลยค่ะ,146.666,150.01
จากนั้นระบบเขาก็จะจัดส่ง SMS,150.122,152.506
แจ้ง password มาให้นะคะ มีค่ะ นิช่าขอ,152.682,155.97899999999998
เสนอเป็นแพ็คเกจยายค่ายแพ็คเกจนี้นะคะ,155.97899999999998,159.00199999999998
ชื่อ แพ็คเกจ ห้า จี ซุปเปอร์ สมาร์ท สอง ร้อยห้าสิบ บาท,158.954,162.65800000000002
 จาก ราคา ปกติ สี่ ร้อย เก้า สิบ เก้า บาท ค่ะ,162.65800000000002,166.36200000000002
ได้รับสิทธิ์นานสิบสองเดือน แถมใช้ฟรีหนึ่งเดือน,166.666,170.33
ปริมาณอินเทอร์เน็ตที่ใช้ได้ทั้งหมดอยู่,170.634,173.35199999999998
ที่สามสิบกิกาไบต์ต่อเดือน โทรฟรีทุก,173.35199999999998,176.06999999999996
เครือข่ายสองร้อยนาทีต่อเดือนค่ะ ค่าสำหรับ,176.06999999999996,179.03499999999997
สิทธิใช้บริการฟรีจะสามารถใช้ได้ในรอบบิลที่,178.954,182.755
สามค่ะและรอบบิลต่อไปก็จะได้รับสิทธิลดห้า,182.755,186.55599999999998
สิบเปอร์เซ็นต์ค่ะ ถูกต้องแล้วค่ะคุณกรณิการ ใช่เลยค่ะ,186.55599999999998,190.35699999999997
สำหรับการย้ายค่ายคุณกรณิการสามารถทำได้ง่ายง่าย,190.35699999999997,194.15799999999996
ผ่านเว็บไซต์ได้เลยนะคะ ได้ค่ะ ยินดีเลยค่ะสำหรับ,194.15799999999996,197.95899999999995
ขั้นตอนแรกก่อนการย้ายค่ายนะคะให้เช็คก่อนว่าไม่มี,197.95899999999995,201.75999999999993
ยอดทางชำระกับทางค่ายเดิมจากนั้นเข้าไปที่เว็บไซต์,201.75999999999993,205.56099999999992
ทรู มบ เอส,205.482,206.65
เลือก เมนู ย้ายค่าย เบอร์ เดิม,206.858,209.05
แล้ว เลือก แพ็คเกจ ที่ ต้องการ ค่ะ เมื่อ เลือก แพ็คเกจ,209.29,212.946
 เรียบร้อย แล้ว ให้ กรอก เบอร์ โทรศัพท์ ที่ ต้องการ ย้าย ค่าย,212.946,216.602
เพื่อรับรหัสโอทีพีนะคะ,216.554,219.258
พอได้รับรหัสโอทีพีมายืนยันสิทธิ์,219.242,222.46599999999998
แล้ว ให้คุณกรณิกากดขอรหัสย้ายค่าย,222.46599999999998,225.68999999999997
โดย การ กด ดอก สั้น,225.674,227.514
หนึ่ง ห้า หนึ่ง,227.594,228.858
ดอกซัน,228.874,230.074
ตาม ด้วย หมายเลข บัตรประชาชน สิบ สาม หลัก เรื่อง หมาย,230.218,233.426
 สี่เหลี่ยม แล้วก็ กด ทัวร์ ออก ค่ะ จากนั้น แล้ว นะคะ,233.426,236.634
 ให้ กรอก รหัส ยืนยัน ที่ ได้รับ ทาง เอส เอ็ม เอส ค่ะ,236.634,240.089
เมื่อยืนยันแล้วระบบจะให้ยืนยันตัวตนตามขั้นตอนค่ะ,240.202,243.863
 ตรงนี้ไม่ต้องเป็นกังวลเลยค่ะ ขั้นตอนไม่ยุ่งยากนะคะ คุณกรรณิกา,243.863,248.439
จะเป็นการยืนยันโดยถ่ายภาพถ่ายใบหน้าแล้วก็บัตร,248.439,251.642
ประชาชนค่ะ ค่ะ ด้วยความยินดีเลยค่ะวันนี้ไม่ทราบว่า,251.642,255.303
คุณกรรณิกาได้รับข้อมูลชุบถ้วนไหมคะ คะ วันนี้นิชา,255.303,259.193
เป็นเกียรติที่ได้ดูแลคุณกรรณิกานะคะ หลังจากวางสายอาจ,259.193,263.08299999999997
จะมีระบบตอบรับอัตโนมัติติดต่อเข้าไปเพื่อสอบถาม,263.08299999999997,266.74399999999997
ความพึงพอใจในการให้บริการของนิชาในครั้งนี้หากคุณกรณิการ์,266.74399999999997,271.32
พึงพอใจมากรบกวนกดห้าให้นิชาด้วยนะคะ,271.32,274.52299999999997
วันนี้ขอบคุณที่ใช้บริการ ทรูคอร์สเซ็นเตอร์ สวัสดีค่ะ,274.698,278.691875
