text,start,end
สวัสดีค่ะ,0.074,1.018
สันติธรรมันรับสาย เอสเซอร์วิสยินดีให้บริการค่ะ,1.034,4.922
แม้กระทั่งว่าคุณลูกค้าต้องการบริการ,5.002,7.984999999999999
ได้เรื่องใดคะ คุณลูกค้า หมายถึง,7.984999999999999,10.425999999999998
ซิมพรีเมียม เบอร์ สวย พลิกชีวิต ใช่ไหม,10.41,12.962
คะ ซิมพรีเมียม เบอร์ สวย พลิกชีวิต ของ IAS,12.962,15.77
เป็นเบอร์มงคล,15.818,17.402
ขัดด้วยอาจารย์นิติกิ,17.61,19.386
กิตติ ศรีวรณนท์ ค่ะ อาจารย์นิติกฤต,19.498,22.778
แกเป็นผู้เชี่ยวชาญ,22.73,24.986
ศาสตร์พลังตัวเลขระดับประเทศค่ะ,25.194,27.834
มี เขียนหนังสือ,27.946,29.498
ลงนิตยสาร,29.578,31.226
และหนังสือพิมพ์เยอะเลยค่ะ อาจารย์นิติกิต,31.306,34.17
กิตติ ศรีวรณันท์ เป็นนักพยากรณ์ศาสตร์พลัง,34.09,37.626
ของตัวเลขที่อยู่กับพลังตัว,37.898,40.815000000000005
เลขมามากกว่า 20 ปี,40.815000000000005,43.002
แกดังไก่ไปทั่วโลก,43.082,44.762
บุกเบิกศาสตร์พลังแห่งตัวเลข,44.778,46.801
คนแรกแรกค่ะแกมีช่องทาง,46.801,49.114000000000004
โซเชียลมีผู้ติดตามจำนวนมาก,49.13,51.674
รวมถึงชาวต่างชาติ,51.754,53.498
เปิดข้อสอนลูกศิษย์ไปเป็นจำนวนมาก,53.61,56.666
มีหลายคนที่เป็นคนดังด้วย,56.81,59.13
ทำให้คือ,59.21,60.442
เริ่มเป็นที่รู้จักหลังจากได้เข้า,60.426,62.753
มาใช้บริการเปลี่ยนเบอร์กับทางอาจารย์,62.753,65.338
เมื่อใครแล้ว,65.386,66.522
เห็นผลกลับไป,66.57,68.122
บอกต่อกับคนใกล้ตัว,68.202,70.234
ทำให้ศาสตร์พลังตัวเลข,70.282,72.314
เริ่มมีการพูดถึงกันมากขึ้นในต่างประเทศ,72.33,75.418
เช่น,75.594,76.378
ดู บาย,76.426,77.53
แคนาดา,77.546,78.65
ออสเตรเลีย,78.698,79.77
และอีกหลายประเทศค่ะ ซิม,79.754,81.87400000000001
พรีเมียม เบอร์สวยพลิกชีวิต,81.87400000000001,83.99400000000001
ราคา ซิม,84.106,85.338
หนึ่งร้อย,85.514,86.682
99 บาท ค่ะ,86.666,88.218
ปกติ,88.298,89.178
สามร้อยเก้าสิบเก้า,89.322,91.034
แต่ตอนนี้มีโปรโมชั่นลดราคาค่ะ,91.306,94.01
เหลือ 199 บาท เอง ค่ะ ของ,94.25,96.712
ไอเอส เท่านั้น ค่ะ ถ้า ไป,96.712,99.58500000000001
 ซื้อ เบอร์ กับ แก โดยตรง นี่,99.58500000000001,102.45800000000001
ก็มีราคาตั้งแต่,102.602,104.346
หลายพัน,104.426,105.53
จนถึง,105.61,106.554
ราคาแสนกว่าเลยค่ะไม่ทราบว่าคุณลูกค้า,106.57,110.106
เป็นลูกค้าของไอเอ๊ะ,110.122,111.578
เอเอเอสอยู่แล้วหรือเปล่าคะ เป็นลูกค้าแบบ,111.498,114.56200000000001
เติมเงินหรือรายเดือนคะ โบโทรของคุณลูกค้า,114.56200000000001,117.626
คือ เบอร์ ตาม ที่ โทร มา เลย ใช่ ไหม คะ เบอร์,117.738,120.634
ศูนย์ แปด ห้า เก้า หก,120.714,123.162
หก หก,123.21,124.154
แปด แปด แปด นะคะ,124.394,126.138
คุณลูกค้า ชื่อ,126.218,127.674
คุณธนากร นิยมสุข ใช่,127.722,129.81
ไหมคะ ซิมพรีเมี่ยม เบอร์สวย,129.81,131.898
พริกชีวิต,131.946,132.858
จะเป็นแบบซิมรายเดือนนะ,132.938,135.23
คะต้องจ่ายค่าบริการแพ็กเกจ,135.23,137.85
เอ ไอ เอส,137.962,138.906
5G Max Speed เดือนละ,138.986,141.146
หนึ่ง พัน หนึ่งร้อย,141.29,143.418
เก้า สิบ เก้า บาท,143.466,144.826
นาน สิบสอง รอบ บิล,145.002,146.81
ซื้อ 12 เดือน ค่ะ แพ็คเกจเอ,146.858,149.402
ไอเอส,149.45,150.266
5 ทรี แบ็ค สปีด,150.346,151.994
เน็ต 5G ไม่จำกัดสามารถ,152.106,154.11599999999999
เล่นเหน็ดไม่จำกัดความเร็วสูงสุด,154.11599999999999,156.378
ใช้งานที่ความเร็วสูงสุด,156.586,158.62400000000002
หนึ่งกิกะบิตเซอร์เซ็กซ์จากนั้น,158.62400000000002,160.95400000000004
เล่น เน็ต ต่อเนื่อง,160.938,162.49
ความเร็วสูงสุด 4 Mbit เปอร์เซ็นต์,162.538,165.41400000000002
 โชคฟรีในเครือข่าย AIS-M,165.41400000000002,167.93
