text,start,end
ข่าวบริการจาก คุณลูกค้าสนใจสอบถามข้อมูลด้านใด,0.394,4.0409999999999995
ดีคะ ไปเลยค่ะคุณลูกค้ารบกวนถือสายรอสักครู่,4.0409999999999995,7.687999999999999
นะคะขออภัยผู้ให้ถือสายรอนะคะขออนุญาตแนะนำ,7.687999999999999,11.578
5G อัลตรอมแม็กซ์ สปีด 299 กิโลตรา ค่าใช้บริการ,11.786,15.684
หมอ จ่าย ขั้นต่ำ รายเดือน สองร้อยเก้าสิบเก้า บาท ต่อ เดือน,15.684,19.322
ผู้ใช้บริการจะได้รับสิทธิชัยบริการดังนี้นะคะ,19.498,23.162
โทษทุกมรรคภายใน,23.946,25.146
จำนวน 50 นาทีต่อรอบค่าบริการ,25.066,28.41
บริการ 5G ที่ความเร็วสูงสุด 1 ชิค ตัว,28.682,31.642
บริการ 4G ที่ความเร็วสูง,31.818,33.707
สุด 300 เมตร เป็นจำนวน 10 GB,33.707,35.866
หลังจากนั้น,36.01,37.146
จะใช้ได้ไม่จำกัดรีมันที่,37.226,40.493
ความเร็วสูงสุดไม่เกิน 384 กิโลไบต์,40.493,44.122
สาม เรียนไวไฟด้วยความเร็วสูงสุด,44.202,46.513999999999996
หนึ่งจิ๊กไม่จำกัดปริมาณการใช้งาน,46.513999999999996,49.081999999999994
รับสิทธิพิเศษเพิ่มตามหนึ่ง,49.322,51.578
และสิทธิ์ tool unlock ปลดล็อก content ดูได้แบบฟรีฟรี,51.69,55.386
ผ่านบนมลายถือ,55.402,56.826
และบนสัญญาณโครงข่ายมือถือเท่านั้นไม่สามารถรับรูป,56.842,60.474
สัญญาณไวไฟรับสิทธิ,61.13,63.066
ผ่านแอปพลิเคชัน to ID,63.242,65.274
อัพ สิทธิ์ ตัวลด,65.322,66.618
ข้าวปริญญาณ 50% สมัครดูแอปคอนเทนต์,66.57,69.466
ไอซีอี,69.546,70.778
ราคาเพียง 59 บาทต่อเดือน ปกติ 119 บาท,70.762,74.65
ระบบต่ออายุอัตโนมัติสามเดือนเมื่อควบกำหนดระยะเวลา,74.698,78.618
ลด 50% ระบบเจ้าต่อ,78.858,80.732
อินโดนมาด้วยราคาปกติ,80.732,82.874
แค่เพียงสมัครกด,82.922,84.282
จอกจันทร์,84.426,85.338
