text,start,end
ถาม ข้อมูล,8.714,9.754
สวัสดี ค่ะ บ้าง,31.85,32.666
พี่สาว ขาย ไหน คะ,36.394,37.53
สามารถเข้าไปที่ศูนย์บริการทุน,58.474,60.506
สุดท้ายมากที่สุด,60.81,61.85
สาขา บิ๊กซี่ ซุโขทัย,63.946,65.978
ได้ เลย นะคะ ต้อง ขออภัย ด้วย นะคะ จำเป็น ต้อง,66.154,69.402
สาขา,70.858,71.866
หรือ ชอป ที่ ให้บริการ ค่ะ ค่ะ ครู ลุง,71.914,74.362
สาขา ไม่ สะดวก ใน การ เดินทาง,74.442,76.378
สามารถ ย้าย ค่าย ผ่าน ทาง ออนไลน์ ของ ทรู มุ ฟ เอช,76.618,80.249
 ได้ เลย ค่ะ ไม่ ทราบ ว่า เปอร์ เดิม ที่ ใช้ อยู่,80.249,83.32199999999999
เป็น บาป รายเดือน,83.53,84.922
หรือ บาท เติม เงิน คะ ถ้า หมายเลข ที่ คุณ ลูกค้า กำลัง ใช้ งาน อยู่,85.162,89.082
เป็น แบบ เติม เงิน,89.514,90.842
สามารถทำเรื่องย้ายไข้ได้ทันที,91.05,93.42999999999999
เลยค่ะ แต่ถ้าเป็นแบบรายเดือน,93.42999999999999,95.54599999999999
ต้อง ชำระ ค่าบริการ ตาย เดือน ก่อน นะ,95.786,98.498
คะ สามารถ ดำเนินการ ผ่าน ทาง เว็บไซต์,98.498,101.21000000000001
เพื่อ ขอ รหัส การ ย้าย ค่าย กลับ เครือข่าย ต้นทาง ได้ เลย,101.418,105.20200000000001
 นะคะ ใน ส่วน นี้ ลูกค้า สามารถ แจ้ง กับ เจ้าหน้าที่,105.20200000000001,108.98600000000002
ที่ให้บริการของทรง,109.002,110.522
ให้ดำเนินการให้ก็ได้ค่ะ ในกรณีที่,111.05,114.319
ลูกค้าติดต่อกับสาขาที่ให้บริการ ค่ะ,114.319,117.58800000000001
 คุณลูกค้า ขออภัยในความไม่สะดวกนะคะ,117.58800000000001,120.85700000000001
ซิม จะ จัดส่ง ทาง ไปรษณีย์,121.066,123.226
ซึ่ง จะ ใช้เวลา ต่อ ศึกษา มา ทำ,123.466,125.85799999999999
การ ค่ะ ให้ ให้ นิชัน แนะนำ นะคะ,125.85799999999999,128.25
หาก คุณ ลูกค้า สะดวก ไป ที่ สาขา,128.298,130.746
นอกจาก ยักษ์ยาย ข้า แล้ว ท่า ฉับ ของ ทรู,130.89,134.138
ยังมี โปรโมชั่น สำหรับ การ ย้าย ค่าย,134.378,137.063
 ให้ เลือก ราชสิทธิ ประโยชน์ อื่น อื่น ที่ แต่ละ,137.063,140.285
 สาขา มี ไม่ เหมือนกัน ค่ะ อาทิเช่น,140.285,142.97
ขอ ที่ระลึก,143.018,144.378
หรือ ของแถมกรณีซื้อ,144.362,146.585
เครื่องผูกโปร ก็จะมีแบบ,146.585,149.178
เน้น โทร หรือ ใช้ อินเทอร์เน็ต ยาว ยาว,149.226,152.378
แล้วแต่ความต้องการของคุณลูกค้าค่ะ ปกติ,152.426,155.79
แล้ว คุณลูกค้าใช้ในการโทรศัพท์ติดต่อ,155.79,158.874
หรือ ใช้งาน อินเทอร์เน็ต มากกว่า,158.858,160.853
กันคะ ถ้าอย่างนั้น คุณลูกค้าคะ,160.853,163.098
ปัจจุบัน จ่า เครือข่าย เดิม ใช้ โปร อะไร,163.114,166.132
 อยู่ ล่ะ คะ จ่า โปร เดิม เครือข่าย เดิม,166.132,168.602
คุณลูกค้า ต้องการให้ทางทู,168.842,170.938
ย่อย ใคร ปัญหา ใน จุด ไหน ให้ คะ ทรู มุ ส,171.114,173.722
ยินดี ให้บริการ ค่ะ จุด สัญญาณ เครือข่าย,173.834,176.70600000000002
 ของ ดาวน์ มี เยอะ มาก เลย นะคะ ครอบคลุม ทุก,176.70600000000002,179.57800000000003
พื้นที่อย่างแน่นอนค่ะ,179.626,181.434
และ เรื่อง ความปลอดภัย การ รักษา ข้อมูล,181.546,184.146
 ของ คุณ ลูกค้า เป็น หัวใจ หลัก ของ คุณ,184.146,186.74599999999998
ถ้าอย่างนั้น นิชันขออนุญาตแนะนำ,187.338,190.01
โรยาท คล้าย โปรโมชั่น แบลร์ มงคล,189.994,192.662
 จาก ราคา ปกติ จะ อยู่ ที่,192.662,195.034
หนึ่ง พัน,195.082,195.994
เก้า ร้อย เก้า สิบ หก สิบ หก สิบ สี่ สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ ,196.074,197.402
หนึ่งพันหนึ่งร้อยเก้าสิบเก้าบาทนะคะ,197.706,199.962
จะ ลด เหลือ เพียง แค่ 199 บาท เท่า นั้น เอง,200.106,203.301
 ค่ะ สำหรับ แพ็คเกจ อินเทอร์เน็ต 5G,203.301,206.49599999999998
 Max Speed จะ มี ทั้งหมด 3 แพ็คเกจ ค่ะ,206.49599999999998,209.69099999999997
สาม ร้อย เก้า สิบ เก้า บาท อินเทอร์เน็ต แฮ่ จี,209.93,213.562
ความเร็ว เต็ม สปีด,213.546,215.098
สามสิบ กิกาไบต์,215.21,216.826
เครือข่าย ฟรี,217.738,218.618
สี่ ร้อย นาที,219.146,220.474
โทร เข้า โทร,220.554,221.466
ฟรี ไม่ มี ค่าใช้จ่าย,221.738,223.738
ไม่มีลิมิต ค่ะ แพ็คเกจ ห้า ร้อย เก้า สิบ เก้า บาท,223.754,227.738
อินเทอร์เน็ต 5G ความเร็ว,227.882,230.326
เต็มสปีด 40 กิกาบาย,230.326,233.178
โทร ทุก เครือข่าย ฟรี,233.258,234.97
ห้า ร้อย นาที,235.146,236.218
โทรฟรี ไม่มีลิมิต ค่ะ ราว แพ็คเกจ ออ สาม นะคะ,236.682,240.666
เจ็ด ร้อย เก้า สิบ เก้า บาท ความเร็ว เต็ม สปีด,240.65,243.898
เจ็ดสิบ กี่ นาที,243.978,244.826
กิกะไบ,244.746,245.658
โทรทุกเครือข่ายฟรี,245.77,247.354
หกร้อย นาที,247.498,248.762
โทร เข้า ทรู ฟรี,248.842,250.362
ไม่ มี ลิมิตร เช่นกัน ค่ะ มี ค่ะ คุณ สม,250.346,253.197
 หรือ ไทย ไม่ ทราบ ว่า คุณ ลูกค้า ได้ ตั้ง งบประมาณ,253.197,256.567
 ไว้ ไหม ค่ะ ด้วย ความ มี นี ค่ะ คุณ ลูกค้า,256.567,259.418
ไอโฟน สิบสอง,259.562,261.082
ขอโทษนะคะ,262.474,263.29
ไอโฟน สิบสอง,263.53,264.698
สอง ร้อย ห้าสิบ กิกาไบต์,265.002,267.514
ราคา เต็ม อยู่ ที่ สาม หมื่น หก พัน,267.434,270.554
เก้า ร้อย บาท,270.474,271.674
แต่ หาก คุณ ลูกค้า ต้องการ มี ยาย ค่าย เบอร์ เดิม,271.722,274.746
ราคาจะลดเหลือ,274.986,276.666
หนึ่ง หมื่น เจ็ด พัน สี่ ร้อย บาท,276.714,279.066
ไม่ รวมค่า แพ็กเกจ รายเดือน นะคะ,279.178,281.562
แล้ว นะ คะ คุณ ลูก คะ,281.802,282.938
คุณ สาธุ ค่ะ,282.858,283.642
ต้องการ เปิด เบอร์ ใหม่ ราคา เริ่มต้น จะ อยู่ ที่,283.69,287.386
หนึ่ง หมื่น เก้า พัน สี่ ร้อย บาท โปรโมชั่น,287.498,290.234
 สำหรับ ลูกค้า กล่าว เริ่มต้น อยู่ ที่ หนึ่ง,290.234,292.96999999999997
 หมื่น เก้า พัน สี่ ร้อย บาท เช่นกัน ค่ะ ค่ะ,292.96999999999997,295.70599999999996
สำหรับ แพ็คเกจ รายเดือน,295.722,297.562
เริ่มต้นอยู่ที่หนึ่งพันหกร้อยเก้าสิบเก้าบาทค่ะ,297.546,301.146
ติดสัญญา 24 เดือน ค่ะ ได้ค่ะ,301.322,304.122
คุณลูกค้ายายค่ายเบอร์เดิมจะ,304.234,306.24199999999996
ได้โปรโมชั่นไอโฟนสิบสี่,306.24199999999996,308.24999999999994
สองร้อยห้าสิบหกกิกาบัตร,308.266,310.49
ราคา พิเศษ,310.506,311.866
เหรียญ หนึ่ง หมื่น เจ็ด พัน สี่ ร้อย บาท นะคะ,311.85,314.906
ใน ส่วน แพ็คเกจ ค่าโทร รายเดือน คุณ,315.05,317.589
 ลูกค้า ถ้าหาก มี การ ใช้ การ โทร มาก,317.589,320.41
จะขอแนะนำเป็นแท็กเกจ,320.426,322.49
หนึ่ง พัน เก้า ร้อย เก้า สิบ เก้า บาท,322.73,324.978
 ดีกว่า ค่ะ คุณ ลูกค้า จะ ได้,324.978,327.226
โทร ฟรี ทุก เครือข่าย หนึ่ง พัน หกร้อย นาที ต่อ เดือน,327.402,331.386
แล้วก็ อินเทอร์เน็ต,331.466,333.146
ความเร็ว แฮ่ จี ไม่ อั้น ต่อ เดือน ค่ะ รับ,333.258,336.143
ทราบ ค่ะ แพ็คเกจ หนึ่ง พัน หก ร้อย เก้า สิบ เก้า บาท,336.143,339.28999999999996
โทร ฟรี ทุก เครือข่าย,339.274,340.922
หนึ่ง พัน สอง ร้อย นาที,341.13,343.034
อินเทอร์เน็ต ความเร็ว,343.114,344.698
ฮา จี ไมอัน ค่ะ,344.746,346.62
 สัญญา ติด อยู่ ยี่สิบ สี่ เดือน,346.62,348.762
ส่วนรอบเดียวจะตัดทุกวันที่สามสิบของเดือน,348.906,352.003
นะคะ ขอทราบชื่อนามสกุลของคุณลูกค้าด้วยค่ะ,352.003,355.358
 ค่ะ คุณลูกค้า คุณลูกค้า ย้ายค่ายจากค่ายไหนคะ,355.358,358.713
และขอ ทราบ เบอร์ โทร ที่ ต้องการ ย้าย ค่าย ด้วย ค่ะ ขอบคุณ ค่ะ กรุณา,358.666,362.676
 รอ สักครู่ นะคะ กำลัง ดำเนินการ ให้ อยู่ ค่ะ คุณ ลูกค้า,362.676,366.45
 คะ สะดวก ชำระ เป็น บัตร เครดิต หรือ บัตร เดบิต คะ ขอ ทราบ,366.45,370.224
 หมาย เลข บัตร เครดิต แล้ว วัน หมด อายุ หน้า บัตร ด้วย ค่ะ ขอบคุณ ค่ะ,370.224,374.234
ทางเราได้บันทึกข้อมูลเรียบร้อย,374.186,376.786
แล้ว ทางลูกค้าสะดวกจัดส่ง,376.786,379.098
เป็น ช่องทาง ไหน ดี คะ จอด ส่ง วันนี้ ได้ เลย คะ,379.05,382.426
รบกวน เอ่อ ขอ ข้อมูล จะ ส่ง ละ,382.506,385.626
เบอร์โทรติดต่อกราบด้วยนะคะ ต้องการยกเลิกการ,385.61,388.858
สั่ง ตัด บัตร ศักดิ์ ซื้อ ตัด บัตร,388.906,391.258
ไม่ คะ ได้ คะ กำลัง ดำเนินการ,391.274,393.783
 ให้ เรียบร้อย คะ เป็น ความคิด ที่ ดี คะ,393.783,396.57
ขอให้คุณลูกค้ามีความสุขในวันหยุดนะคะ,396.714,400.218
ใน การ เปลี่ยนโต,400.298,401.818
แล้วซื้อโทรศัพท์,402.09,403.546
จะมีพลอยที่คุณลูกค้าเนี่ย,403.626,406.234
สามารถ นำมาใช้ ได้ ทันที เลย ค่ะ แล้ ว,406.25,409.17
จะ ได้ ส่วนลด ใน การ ซื้อ สินค้า และ บริการ,409.17,412.09000000000003
ไม่ ทราบ ว่า,412.298,413.37
ข้อมูลที่คุณลูกค้าต้องการเนี่ย ได้,413.642,416.56
รับครบถ้วนไหมคะ ทรูมุสเอช ขอบคุณค่ะ,416.56,419.77
ขอบคุณ คุณ สมใจ ไทย,419.946,422.042
ที่ ใช้ บริการ กับ ทรู ครั้งนี้ นะคะ,422.218,425.05
ก่อน จะ วางสาย,425.226,426.65
รบกวน,426.762,427.738
ให้คะแนนกับการบริการครั้งนี้ด้วยค่ะ ขอบคุณค่ะ,427.914,431.419875
