text,start,end
สวัสดีครับ เบส อัซซิเมอร์ เซอร์วิส นี่ ดี ให้ รายการ ครับ ไม่ ทราบ ว่า,0.0,3.845
 มี เรื่อง แต่ อยาก จะ สอบ ถาม ข้อมูล ครับ นี่ ครับ คุณ ลูก ค้า ลูก ค้า ไอ โซ ฮิ ค ,3.845,8.331
สี่ สอง ร้อย ห้า สิบ หก ทิกเตอร์ ไบร์ท ราคา มงกุฏิ อยู่ ที่,8.331,11.962
สาม หมื่น หก พัน เก้า ร้อย บาท แต่,12.202,14.274000000000001
 ถ้า ลูกค้า ต้องการ ย้าย ค่า เบอร์ เดิม,14.274000000000001,16.346
ราคาจะลดเกิน,16.554,17.978
หนึ่ง หมื่น หก พัน หกร้อย บาท อันนี้ คือ ไม่ รวม,18.186,21.499
 ค่า พาเกจ รายเดือน นะ ครับ แล้ว หาก คุณ ลูกค้า ต้อง การ,21.499,25.067
 เปลี่ยน เป็น เบอร์ ใหม่ ราคา จะ เริ่ม ที่ หนึ่ง หมื่น เก้า พัน ห้า,25.067,28.635
 ร้อย บาท ส่วน โปรโมชัน สำหรับ ลูกค้า เก่า ราคา เริ่ม,28.635,32.203
 ที่ หนึ่ง หมื่น เก้า พัน ห้า ร้อย บาท เช่นกัน ครับ ครับ ถูก ต้อง,32.203,35.771
 ครับ รับทราบ ครับ และ ลูกค้า เก่า ใช้ เบอร์ เดิม นะ ครับ ส่วน,35.771,39.339
 พาเกจ แนะ นำ เป็น ตัว หนึ่ง พัน หก ร้อย เก้า สิบ เก้า บาท,39.339,42.907
โทษ ที่ เครือข่าย,42.89,44.506
หนึ่ง พัน หก ร้อย นาที อินเทอร์เน็ต,44.714,46.929
 คำ เร็ว ค่า ที ไม่ อ้าง ครับ ทราบ ครับ,46.929,48.922000000000004
ราคา สูง ใช่ไหม ครับ คุณ ลูกค้า คง ไม่ ได้ ใช้,48.938,52.274
 โทร เยอะ ใช่ไหม ครับ กัส แทบจะ ไม่ ได้ ใช้ โทร เลย,52.274,55.61
แล้ว คุณลูกค้าใช้อินเทอร์เน็ตเยอะไหมครับ,56.01,58.746
ครับ ถ้า งั้น ขอ แนะนำ เป็น แพ็ค เกจ หนึ่ง พัน สี่ ร้อย เก้า,58.698,62.26
 สิบ เก้า บาท โทร ฟรี ทึก ไป ขาย หก ร้อย นาที อินเตอร์เน็ต,62.26,66.06
 ความเร็ว ห้า จี ไม่ อั้น ครับ ระยะ สัญญา ยี่สิบ สี่ เดือน,66.06,69.622
 ครับ รอบ ดิน จะ ตัด ทุก วัน ที่ สาม สิบ ของ เดือน นะ ครับ ครับ,69.622,73.184
 ถ้า งั้น เป็น แพ็ค เกจ หนึ่ง พัน สี่ ร้อย เก้า สิบ เก้า บาท โทร ฟรี,73.184,76.984
 ทึก ไป ขาย หก ร้อย นาที อินเตอร์เน็ต ความเร็ว ห้า จี,76.984,80.54599999999999
 ไม่ อั้น นะ ครับ ครับ ขออนุญาต ชาติ ชื่อ คุณ ลูกค้า นะ ครับ ครับ,80.54599999999999,84.34599999999999
ขอทราบเบอร์โทรคุณลูกค้านะครับ,84.298,86.49
เบอร์ โทรศัพท์ เป็น,86.698,88.218
สูตร สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สิบ สี่ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิ,88.586,90.458
เก้า ห้า หก หนึ่ง ห้า จุด เจ็ด ครับ,90.666,93.69
คุณลูกค้าจะสะดวกสำลักด้วยบัตร,93.962,96.058
เทรดิต หรือ บัตร เทรดิต ครับ ครับ ขอ สอบถาม ไมค์ เลข เทรดิต,96.17,99.553
 และ วัน หมด อายุ หน้า บัตร ด้วย ครับ ครับ จ้าง จง บัตร เลย ครับ ครับ,99.553,103.16199999999999
คุณลูกค้าจะสะดวกรับ,103.402,105.018
ขอ ทาง หน่อย ดี ครับ ครับ,104.97,106.906
ขออนุญาตต้านที่อยู่การกระต่งระเบิดโทรกลับไปครับ,106.89,110.082
 นับทราบครับ ขอบคุณที่ชมรายการจากเอสครั้งนี้นะครับ,110.082,113.274
ก่อน วาง สาย รบ กวน ให้ คะแนน ด้วยกัน ครั้งนี้ ด้วยกัน ครับ ขอบคุณ ครับ,113.482,117.459875
