text,start,end
สวัสดีค่ะ คุณบุษราคาม อริศาสตร์ ติดต่อ,0.138,2.6109999999999998
จาก เอไอเอส เซอร์วิส นะคะ,2.6109999999999998,4.634
วันนี้อยากจะขออนุญาตแนะนำ,4.618,7.01
โปรโมชั่นแพ็คเกจรายเดือนตัวใหม่,7.01,9.402
ไม่ทราบว่าตอนนี้คุณบุษราคามสะดวก,9.45,12.241
คุยไหมคะยินดีค่ะคุณบุษราคาม,12.241,14.777999999999999
ตัวแพ็คเกจที่อยากนำเสนอ,14.794,16.962
วันนี้เป็นแพ็คเกจรายเดือน,16.962,19.13
5G Max Speed นะคะ,19.178,21.306
เดือนละ 549 บาท โดย,21.226,24.346
คุณมุสลาคำเนี่ยสามารถโทรฟรีทุกเครือข่ายสอง,24.298,28.002
ร้อยนาทีแล้วก็อินเทอร์เน็ต 5G ความเร็วสูงสุด,28.002,31.706
สิบสี่ กิกะบาย ค่ะ,31.626,33.242
หลังจากนั้นความเร็วจะอยู่,33.354,36.082
ที่ 384 กิโลบิตนะคะ,36.082,38.81
ส่วน ไอเอส ไวไฟ คุณ บุษราคาม,38.89,41.711
 สามารถ ใช้ แบบ อัลลิมิต ได้ เหมือน เดิม,41.711,44.532
 ทุกที่ เลย ใช่ ค่ะ คุณ บุษราคาม,44.532,47.352999999999994
คือถ้าดูจากตัวสถิติการใช้งาน,47.37,50.306
ของบุตรของคุณบุษราคามก่อนหน้านี้,50.306,53.242
เหมือน จะ ใช้งาน อินเทอร์เน็ต,53.258,55.346000000000004
 5G เกิน ค่อนข้าง เยอะ เลย เนาะ,55.346000000000004,57.434000000000005
อาลิซ่าก็เลยอยากจะแนะนำตัวแพ็คเกจตัวนี้ให้,57.45,60.538
ราคาแพ็กเกจห้าร้อย,60.618,62.658
สี่สิบเก้าบาทนะคะ,62.658,64.69800000000001
เมื่อ รวม VAT แล้ว จะอยู่,64.65,67.426
ที่ 587.43 สตางค์ ค่ะ,67.426,70.202
จะเพิ่มขึ้นจากตัวกล่าวประมาณ 50,70.346,72.498
 กว่าบาท จึงขาดคุณผู้ชมนะครับ,72.498,74.65
นี่ค่ะคุณบุษณะคำ,74.602,76.378
มีทับเพิ่ม,76.458,78.042
เป็นอินเทอร์เน็ต,77.962,78.874
5G 20 GB,78.954,81.53
ราคาจะอยู่ที่,81.482,83.482
 999 บาทต่อเดือนนะคะ,83.482,85.882
แต่ถ้าคุณบุญกระทำเพิ่มอีกนิดนึง,85.898,88.73
"เป็นเดือนละ 1,299 บาท",88.746,92.25
จะสามารถใช้อินเทอร์เน็ต 5G ได้ไม่อั้นเลยค่ะ,92.362,96.16
 ตรงนี้อาริสาเข้าใจค่ะ ยังไงขออาริสา,96.16,100.25
ก็ขอโอกาสให้อภิสาห์ได้ให้ข้อมูลเพิ่มเติมนิดนึงนะคะ,100.682,104.282
นอกจากอินเทอร์เน็ตไม่อั้นแล้ว,104.298,106.81
การโทรฟรีทุกเครือข่าย,106.73,108.702
จะเพิ่มเป็นห้าร้อยนาที,108.702,111.002
แถมคุณบุตรรักษ์ยังได้ปิดอัพเกรด,110.954,113.993
เป็นลูกค้าเซราเนตโกลด้วยนะคะ,113.993,117.36999999999999
ซึ่งจะมีจิตพิเศษ,117.45,119.578
อื่น อื่น เพิ่มขึ้นให้อีก,119.498,121.466
เช่น ส่วนลด ใน การ ซื้อ ของ,121.418,123.93
หรือ ส่วนลดในการทานอาหาร,123.882,126.842
ขนม,126.794,127.706
หรือว่าเครื่องดื่มในร้านค้าต่าง ๆ,127.658,130.234
ตรงนี้คุณบุษราคามสามารถแจ้ง,130.41,133.025
เปลี่ยนแพ็กเกจกับทางอธิษฐาได้เลยค่ะ,133.025,135.93
หาก แจ้ง วันนี้ การ ใช้ งาน แพ็คเกจ,136.01,138.57899999999998
 ตัว ใหม่ จะ มี ผล ใน วัน ที่ สิบเอ็ด,138.57899999999998,141.43399999999997
เดือนมกราคมที่จะถึงนี้เลยนะ,141.45,144.242
คะได้ค่ะ ยังไงอาริศาขออนุญาต,144.242,147.313
ทวนรายละเอียดโปรโมชั่นก่อนนะคะ,147.313,150.105
แพ็คเกจจะเปลี่ยนเป็น Unlimited,150.186,153.87
 5G Max Speed,153.87,155.098
ความเร็วสูงสุดใช้ได้ไม่อั้นค่ะ,155.178,157.914
โทรฟรีทุกเครือข่าย ห้า ร้อย นาที,158.058,161.146
ฟรี เอไอเอส ไวไฟ ทุกที่,161.258,163.866
พร้อมกับการอัปเกรดเป็นเจริญเนสโกลด์นะคะ,163.882,167.802
ราคาจะอยู่ที่,167.946,169.771
" 1,299 บาทต่อเดือน",169.771,171.962
ทางอภิสาห์ขออนุญาตเปลี่ยนแพ็คเกจให้,172.394,175.298
เลยนะคะ เรียบร้อยค่ะคุณบุษราคม,175.298,178.202
อ๋อ,178.218,179.034
ทีนี้หลังจากวางสายแล้วสักครู่,179.146,182.33
คุณ อุตสาหกรรม จะได้รับข้อความยืนยันการเปลี่ยนแพ็กเกจ,182.25,186.17
จากทางเอเอสอีกทีนะคะยินดีให้บริการค่ะ,186.122,189.818
คุณผู้ชมครับ ต้องการสอบถามข้อมูล,189.802,192.691
