text,label
สวัสดีครับเรียนสายคุณวิชัยใช่ไหมครับผมโทรจากฝ่ายกฎหมายของกรมสรรพากรนะครับพอดีมีการตรวจสอบพบว่าคุณมียอดภาษีชำระเกินจากปีที่แล้วจำนวนสามพันห้าร้อยบาททางเราได้ส่งจดหมายไปแล้วแต่ตีกลับครับตอนนี้ทางเราเปิดให้ทำเรื่องขอคืนภาษีผ่านระบบออนไลน์ได้แล้วนะครับเดี๋ยวผมจะให้เจ้าหน้าที่แอดไลน์ไปเพื่อส่งลิงก์ให้กรอกข้อมูลยืนยันรับเงินคืนนะครับรบกวนรับแอดไลน์ไอดีที่ส่งไปหน่อยครับ,1
สวัสดีครับพี่ครับผมไรเดอร์จากไลน์แมนนะครับพอดีร้านข้าวมันไก่ที่พี่สั่งเขามีโปรโมชันแถมน้ำซุปเพิ่มให้แต่ว่าไก่ทอดหมดเกลี้ยงเลยครับพี่จะรับเป็นไก่ต้มล้วนแทนไหมครับหรือจะให้ผมกดยกเลิกออเดอร์ให้ก่อนครับอ๋อได้ครับไก่ต้มล้วนก็ได้ครับเดี๋ยวผมรีบไปส่งให้นะครับอีกประมาณสิบห้านาทีถึงครับขอบคุณครับ,0
สวัสดีค่ะโทรจากฝ่ายบุคคลของบริษัทติ๊กต็อกไทยแลนด์นะคะขอรบกวนเวลาสักครู่นะคะพอดีตอนนี้เรามีแคมเปญรับสมัครพนักงานพาร์ทไทม์ช่วยกดไลก์กดหัวใจคลิปวิดีโอเพื่อโปรโมทอินฟลูเอนเซอร์หน้าใหม่รายได้ดีมากเลยค่ะทำที่บ้านได้เลยวันละสามร้อยถึงแปดร้อยบาทสนใจลองฟังรายละเอียดไหมคะงานง่ายๆแค่มีมือถือเครื่องเดียวก็ทำได้ค่ะถ้าสนใจแอดไลน์มาคุยกับแอดมินได้เลยนะคะ,1
สวัสดีครับคุณลูกค้าครับผมโทรจากศูนย์บริการทรูออนไลน์นะครับพอดีเห็นว่าแพ็กเกจอินเทอร์เน็ตบ้านของคุณลูกค้ากำลังจะหมดสัญญาในเดือนหน้าทางเราเลยอยากนำเสนอแพ็กเกจใหม่ที่คุ้มค่ากว่าเดิมครับได้ความเร็วเพิ่มเป็นหนึ่งกิกะบิตพร้อมกล่องทรูไอดีทีวีดูฟุตบอลพรีเมียร์ลีกฟรีหนึ่งฤดูกาลครับราคาเท่าเดิมเลยครับสนใจให้ผมทำการต่อสัญญาให้เลยไหมครับจะได้ไม่ต้องไปทำเรื่องที่ช็อปครับ,0
สวัสดีครับนี่คือระบบตอบรับอัตโนมัติจากการไฟฟ้าส่วนภูมิภาคแจ้งให้ท่านทราบว่ามิเตอร์ไฟฟ้าของท่านกำลังจะถูกตัดเนื่องจากค้างชำระค่าบริการเป็นเวลาสองเดือนหากท่านชำระแล้วหรือต้องการติดต่อเจ้าหน้าที่เพื่อชี้แจงกรุณากดเก้าเพื่อคุยกับพนักงานมิฉะนั้นจะมีเจ้าหน้าที่เข้าไปทำการถอดมิเตอร์ภายในบ่ายวันนี้ครับ,1
สวัสดีครับสอบถามหน่อยครับอันนี้ใช่เบอร์ของร้านดอกไม้คุณนิดหรือเปล่าครับอ้าวไม่ใช่เหรอครับขอโทษทีครับสงสัยผมเมมเบอร์ผิดแต่เสียงคุณดูใจดีจังเลยนะครับไม่ทราบว่าชื่ออะไรครับเผื่อวันหลังจะได้ไม่โทรผิดอีกพอดีผมเพิ่งกลับมาจากต่างประเทศน่ะครับยังไม่ค่อยคุ้นกับเบอร์ที่ไทยเท่าไหร่ยินดีที่ได้รู้จักนะครับ,1
สวัสดีครับคุณสมศักดิ์นะครับโทรจากศูนย์ฮอนด้าสาขาบางนานะครับพอดีเช็กประวัติรถของคุณลูกค้าถึงรอบเช็กระยะหนึ่งแสนกิโลเมตรแล้วครับไม่ทราบว่าจะสะดวกนำรถเข้ามาตรวจเช็กสภาพช่วงเสาร์อาทิตย์นี้ไหมครับพอดีตอนนี้มีโปรโมชันลดค่าอะไหล่สิบห้าเปอร์เซ็นต์ด้วยครับถ้าสะดวกเดี๋ยวผมลงคิวจองช่างไว้ให้เลยครับ,0
สวัสดีครับเรียนสายเจ้าของเบอร์นะครับนี่คือเจ้าหน้าที่จากสำนักงาน กสทช แจ้งให้ทราบว่าหมายเลขโทรศัพท์ของท่านถูกร้องเรียนว่ามีการส่งข้อความพนันออนไลน์และสร้างความรบกวนให้แก่ผู้อื่นทางเราจะทำการระงับสัญญาณเบอร์นี้ภายในสองชั่วโมงหากท่านไม่ได้เป็นผู้กระทำกรุณากดหนึ่งเพื่อติดต่อเจ้าหน้าที่ฝ่ายกฎหมายเพื่อยืนยันความบริสุทธิ์ครับ,1
สวัสดีค่ะเรียนสายคุณผู้หญิงนะคะขออนุญาตแนะนำโครงการสิทธิพิเศษจากบัตรเครดิตกรุงศรีค่ะเป็นแผนคุ้มครองรายได้ชดเชยเมื่อต้องนอนโรงพยาบาลวันละสองพันบาทค่ะเบี้ยประกันเริ่มต้นเพียงวันละสิบบาทหักผ่านบัตรเครดิตอัตโนมัติค่ะคุณพี่ฟังรายละเอียดสั้นๆก่อนได้นะคะไม่สนใจไม่เป็นไรค่ะตัวนี้คุ้มครองโควิดด้วยนะคะ,0
สวัสดีครับคุณมานะใช่ไหมครับผมโทรจากฝ่ายดูแลสมาชิกบัตรเครดิตเคทีซีครับพอดีคะแนนสะสมของคุณจำนวนห้าหมื่นคะแนนกำลังจะหมดอายุในสิ้นเดือนนี้นะครับทางเราเสียดายสิทธิ์แทนลูกค้าเลยโทรมาแจ้งว่าตอนนี้สามารถเปลี่ยนคะแนนเป็นเงินสดโอนเข้าบัญชีได้ทันทีครับเพียงแค่คุณพี่แจ้งเลขหน้าบัตรกับเลขรหัสโอทีพีที่เด้งเข้าเครื่องเมื่อกี้ให้ผมหน่อยครับจะได้ทำเรื่องโอนเงินให้เลยครับ,1
สวัสดีครับพี่ครับพอดีผมมาส่งพัสดุเคอรี่ครับหน้าบ้านพี่ไม่มีกริ่งกดครับผมตะโกนเรียกแล้วเงียบเลยครับไม่ทราบว่าพี่อยู่บ้านไหมครับอ๋อไม่อยู่เหรอครับงั้นผมวางของไว้ในตะกร้าหน้ารถมอเตอร์ไซค์สีแดงที่จอดอยู่ได้ไหมครับอ๋อได้ครับงั้นเดี๋ยวผมถ่ายรูปส่งเข้าไปในแชทให้นะครับขอบคุณครับ,0
สวัสดีค่ะติดต่อจากกรมที่ดินนะคะพอดีตอนนี้ทางกรมมีนโยบายให้อัปเดตข้อมูลโฉนดที่ดินผ่านแอปพลิเคชันสมาร์ทแลนด์เพื่อลดขั้นตอนการติดต่อราชการค่ะรบกวนคุณพี่แอดไลน์เจ้าหน้าที่ฝ่ายทะเบียนที่เบอร์นี้นะคะเดี๋ยวทางเราจะส่งลิงก์ให้ดาวน์โหลดแอปเพื่อยืนยันตัวตนค่ะถ้าไม่อัปเดตตอนนี้อาจจะมีปัญหาเวลาทำธุรกรรมซื้อขายที่ดินในอนาคตนะคะ,1
ฮัลโหลแม่เหรอแม่นี่หนูเองนะพอดีมือถือหนูตกน้ำเครื่องพังเลยยืมมือถือเพื่อนโทรมาเนี่ยเสียงเลยแปลกๆหน่อยแม่หนูเดือดร้อนมากเลยตอนนี้ขับรถเพื่อนไปชนต้องรีบจ่ายค่าเสียหายให้คู่กรณีเขาด่วนเลยแม่โอนเงินให้หนูสักสองหมื่นก่อนได้ไหมโอนเข้าบัญชีเพื่อนหนูนะเพราะบัญชีหนูแอปมันใช้ไม่ได้เดี๋ยวหนูกลับไปคืนให้นะแม่รีบหน่อยนะเขาขู่จะแจ้งตำรวจ,1
สวัสดีครับสั่งพิซซ่าฮาทนะครับทวนออเดอร์นะครับมีฮาวายเอี้ยนถาดกลางหนึ่งที่สปาเก็ตตี้ขี้เมาทะเลหนึ่งที่นะครับยอดรวมสามร้อยเก้าสิบบาทครับที่อยู่จัดส่งเป็นคอนโดลุมพินีรามอินทรานะครับโอเคครับพนักงานจะไปถึงภายในสามสิบนาทีนะครับชำระเป็นเงินสดปลายทางนะครับขอบคุณครับ,0
สวัสดีค่ะคุณลูกค้าได้รับสิทธิ์กู้เงินสินเชื่อส่วนบุคคลดอกเบี้ยต่ำพิเศษร้อยละบาทต่อเดือนอนุมัติไวภายในสามสิบนาทีไม่ต้องมีคนค้ำประกันนะคะเพียงแค่คลิกลิงก์ที่ส่งไปทางข้อความเพื่อลงทะเบียนและโอนเงินค่ามัดจำสัญญาแค่ห้าร้อยบาทค่ะถ้ากู้ไม่ผ่านเราคืนเงินมัดจำให้ทันทีค่ะสนใจรับเงินก้อนไปหมุนเวียนก่อนไหมคะ,1
สวัสดีครับสวัสดีครับเรียนสายคุณสมชายใช่ไหมครับนี่คือเจ้าหน้าที่จากฝ่ายตรวจสอบพัสดุตกค้างกรมศุลกากรสำนักงานใหญ่แจ้งว่ามีพัสดุผิดกฎหมายส่งในนามของคุณต้นทางจากเชียงรายปลายทางปักกิ่งเลขพัสดุทีเอชเก้าศูนย์สองหนึ่งสี่ถูกอายัดไว้เนื่องจากตรวจพบหนังสือเดินทางปลอมและบัตรเอทีเอ็มจำนวนมากคุณทราบเรื่องนี้หรือไม่ครับถ้าคุณไม่ได้เป็นคนส่งข้อมูลส่วนตัวของคุณอาจถูกมิจฉาชีพนำไปใช้แอบอ้างกรุณาถือสายรอห้ามวางสายเด็ดขาดผมจะทำการโอนสายให้เจ้าหน้าที่ตำรวจสถานีตำรวจภูธรภาคห้าเพื่อแจ้งความลงบันทึกประจำวันไว้เป็นหลักฐานครับสวัสดีครับใช่ครับผมสมชายพูดสายอยู่พัสดุอะไรครับผมไม่เคยส่งของไปเมืองจีนเลยนะแล้วทำไมโทรจากเบอร์มือถือล่ะครับผมต้องทำยังไงบ้างครับคุณตำรวจได้ยินไหมครับผมบริสุทธิ์ใจจริงๆปีนี้ผมยังไม่เคยไปเชียงรายเลยต้องให้ผมยืนยันเลขบัตรประชาชนตอนนี้เลยไหมครับสวัสดีครับสวัสดีครับเรียนสายคุณสมชายใช่ไหมครับนี่คือเจ้าหน้าที่จากฝ่ายตรวจสอบพัสดุตกค้างกรมศุลกากรสำนักงานใหญ่แจ้งว่ามีพัสดุผิดกฎหมายส่งในนามของคุณต้นทางจากเชียงรายปลายทางปักกิ่งเลขพัสดุทีเอชเก้าศูนย์สองหนึ่งสี่ถูกอายัดไว้เนื่องจากตรวจพบหนังสือเดินทางปลอมและบัตรเอทีเอ็มจำนวนมากเราจำเป็นต้องให้คุณยืนยันตัวตนด่วนกรุณาอย่าเพิ่งวางสายนะครับมิฉะนั้นคุณจะมีความผิดฐานร่วมกันฟอกเงินตอนนี้ผมกำลังทำการโอนสายให้ร้อยตำรวจโทวิชาญเพื่อสอบปากคำและตรวจสอบเส้นทางการเงินในบัญชีของคุณเพื่อแสดงความบริสุทธิ์ใจห้ามวางสายเด็ดขาดหากสายหลุดทางเราจะออกหมายจับตามที่อยู่ทะเบียนบ้านของคุณทันทีภายในสองชั่วโมงนี้ครับ,1
