text,label
สวัสดีค่ะ เนื่องจากคุณเป็นผู้โชคดีได้รับโทรศัพท์ iPhone 16 32GB ฟรี 1 เครื่องค่ะ จริงหรอค่ะ จริงค่ะ หากคุณต้องการรับโทรศัพท์นี้ โปรดติดต่อ Line @iDle23 เพื่อแจ้งที่อยู่นะคะ,1
มึงว่างป่ะ ไปกินชาบูกัน ได้ๆ กี่โมงล่ะ วันนี้สัก 6 โมงเย็น โอเค เจอกันนะ,0
Your Verification key is 123456. Please do not share this code with anyone.,0
เรียนคุณสมชาย ธนาคารกรุงเทพขอแจ้งว่าบัญชีของท่านมีธุรกรรมต้องยืนยันตัวตน กดลิงก์นี้ bit.ly/secure-auth ครับ/ค่ะ กรุณาดำเนินการภายใน 15 นาที,1
สวัสดีค่ะ คุณสมหมาย สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเงินช่วยเหลือ กรุณากด 1 เพื่อยืนยันข้อมูล กด 1 ขอบคุณค่ะ ดำเนินการเรียบร้อย,0
เฮ้ เราอยู่แถวเซ็นทรัล อยากเจอป่ะ ไปคาเฟ่ดีไหม ได้ ไปเจอกันโลตัสไดร์ฟทรู,0
รหัส OTP ของคุณคือ 789012 กรุณาอย่าเผยแพร่หมายเลขนี้กับผู้อื่น,0
ขอเรียนนายกสรรเพชร กระทรวงสาธารณสุข แจ้งเตือนสถานการณ์โควิด กรุณาเข้าเว็บไซต์ govcovid.go.th เพื่อรับข้อมูลล่าสุด,0
สวัสดีค่ะ พนักงานไปรษณีย์ โทรมาแจ้งว่าพัสดุของคุณถูกอายัด กรุณาชำระค่าธรรมเนียมผ่าน AirPay ภายในวันนี้,1
หวัดดี เราคิดถึงแก คิดถึงเหมือนกัน ไปเจอกันวันเสาร์ไหม,0
รหัสยืนยันสำหรับการรีเซ็ตรหัสผ่านของคุณคือ ABCD1234,0
สวัสดีค่ะ เรียนเชิญเข้าร่วมสอบสัมภาษณ์งานที่บริษัท ABC กรุณายืนยันการรับสายโดยตอบ 1,0
...,0
ขอข้อมูลเพิ่มเติมเกี่ยวกับสวัสดิการที่ได้รับ สวัสดิการอะไรครับ ...,0
สวัสดีค่ะ โรงเรียนอนุบาลรุ่งเรื่อง โทรมาสอบถามเกี่ยวกับการลงทะเบียนปีการศึกษาใหม่ค่ะ,0
สวัสดีครับ พนักงาน AIS โทรมาสอบถามว่าคุณต้องการเพิ่มแพ็กเกจเน็ต 5GB ในราคา 99 บาทไหม ขอรายละเอียดเพิ่มเติมครับ,0
เรียนคุณณัฐพล กระทรวงสาธารณสุขโทรมาแจ้งนัดฉีดวัคซีน คุณสามารถรับการฉีดวัคซีนได้วันที่ 24 เมษายน,0
สวัสดีค่ะ ฝ่ายลูกค้าสัมพันธ์ธนาคารกรุงเทพค่ะ แจ้งว่ามีข้อสงสัยเกี่ยวกับรายการเดินบัญชีของท่าน,0
Your OTP for transaction is 736482,0
"คุณได้รับเงินคืนจากกรมสรรพากร 1,200 บาท กรุณากด *456# เพื่อรับสิทธิ์",1
เฮ้ ไปดูหนังกันมั้ยคืนนี้ นัดเจอกันที่โรงหนังไหน ตรงข้ามห้างเดอะมอลล์,0
แจ้งเตือนความปลอดภัย บัญชีไลน์ของคุณถูกระงับ โปรดส่งรหัส 4 หลักเพื่อยืนยัน,1
Your verification code is 891230,0
เรียนลูกค้า TrueMove H โปรดเก็บ SMS นี้ไว้เพื่อยืนยันการเปิดบริการเสริม,0
แฟนเธอคือใคร ฉันอยากรู้จัก ฉันไม่สะดวกคุยเรื่องนี้,0
"คุณเป็นผู้โชคดีได้รับเงินรางวัล 5,000 บาท กรุณาส่งรูปบัตรประชาชนเพื่อรับเงิน",1
Your 2FA code is 654321,0
สวัสดีค่ะ สำนักงานตรวจคนเข้าเมือง โทรมาสอบถามเอกสารยื่นขออนุญาตอยู่ต่อ,0
เธอไปคอนเสิร์ตวันเสาร์ไหม ไปสิเริ่มกี่โมง ประตูเปิด 18:00 น.,0
บัญชีของคุณถูกล็อกเนื่องจากพยายามเข้าสู่ระบบผิดหลายครั้ง โปรดยืนยันข้อมูลผ่าน *789#,1
Your reset PIN is 321098,0
เรียนคุณสุนิสา สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเบี้ยยังชีพ,0
เสียงแปลกๆ โปรดพูดซ้ำ,0
เจอกันนอกสโมสรเทนนิสกี่โมง บ่ายโมงดีไหม ได้เลย,0
รหัส OTP ของคุณคือ 567890,0
ฝ่ายพัสดุไปรษณีย์โทรแจ้งว่าสินค้าคุณจัดส่งไม่สำเร็จ กรุณายืนยันที่อยู่ของคุณ,0
คุณได้รับข้อเสนอสินเชื่อดอกเบี้ยต่ำ โปรดส่งสำเนาบัตรประชาชนเพื่อดำเนินการ,1
วันนี้กินข้าวที่คาเฟ่ไหนกันดี ลองร้านใหม่แถว BTS ได้ไหม,0
Your temporary password is abc12345,0
สวัสดีค่ะ โรงพยาบาลศิริราช โทรมาเตือนนัดตรวจสุขภาพประจำปี,0
แจ้งความค้างชำระบิลโทรศัพท์ โปรดเติมเงินเข้าเลขที่บัญชี 123-456789-0,1
ไปเที่ยวทะเลกันมั้ย อยากไปมาก แต่ต้องเช็คงานก่อน,0
เสียงไม่ชัดครับ ขอให้พูดชัดอีกครั้ง,0
ฝ่ายสรรพกรโปรดเก็บใบเสร็จนี้ไว้เพื่อลดหย่อนภาษี,0
Your login code is 102938,0
คุณได้รับสิทธิซื้อประกันสุขภาพฟรี โปรดกด *123*1# เพื่อรับกรมธรรม์,1
เพื่อนถามว่าจะไปดินเนอร์ไหมคืนนี้ นัดที่ร้านเดิม 7 โมง,0
กองทุนหมู่บ้านโทรมาสอบถามเงินช่วยเหลือฉุกเฉิน,0
รหัสยืนยันใหม่ของคุณคือ 847362,0
แจ้งเตือน บัญชีธนาคารของคุณถูกระงับ โปรดส่งข้อมูลส่วนตัวเพื่อยืนยัน,1
พรุ่งนี้มีประชุมทีมออนไลน์ 10 โมง รับทราบครับ,0
สำนักงานสถิติแห่งชาติ โทรแจ้งผลสำรวจครัวเรือน,0
ไม่รู้ว่าใครเป็นคนโทรมาค่ะ,0
Your email confirmation code is 564738,0
เราไปปั่นจักรยานกันที่สวนลุมฯ ไหม นัด 5 โมงเย็น,0
คุณชนะรางวัลสลากกินแบ่งรัฐบาล กรุณาส่งภาพบัตรประชาชนเพื่อยืนยัน,1
Your MFA code is 990011,0
ธนาคารกรุงไทยโทรมาแจ้งว่าบัตร ATM ของคุณจะหมดอายุภายในเดือนนี้,0
เพื่อนถามเรื่องหนังสือเรียน พรุ่งนี้หาที่บ้านได้ไหม,0
ส่งข่าวฉุกเฉิน บัญชี PayPal ของคุณถูกระงับ โปรดยืนยันผ่าน SMS,1
รหัส OTP สำหรับสมัครบริการใหม่คือ 445566,0
กรมทางหลวงโทรแจ้งปิดถนนชั่วคราว โปรดหลีกเลี่ยงเส้นทาง,0
เสียงผิดปกติครับ,0
จะไปดูคอนเสิร์ตวงโปรดคืนนี้ไหม คิดอีกทีนะ,0
แจ้งเตือนระบบ หมายเลขโทรศัพท์ของคุณถูกนำไปใช้ในธุรกรรมฉ้อโกง,1
Your security code is 778899,0
อยากไปทานข้าวกลางวันที่ไหน ร้านญี่ปุ่นดีไหม,0
สถาบันการเงินศรีสะเกษโทรแจ้งผลอนุมัติสินเชื่อ,0
แจ้งเตือนบิลค่าน้ำค้างชำระ โปรดยืนยันรหัส 112233,1
Your pin reset code is 332211,0
เธอสนใจเล่นเกมคืนนี้ไหม สนใจ แต่มีงานไม่แน่ใจ,0
สำนักงานขนส่งจังหวัดลพบุรี โทรแจ้งนัดต่อใบขับขี่,0
เสียงแฮงค์ครับ,0
Your bank SMS code is 556677,0
วันนี้มาซ้อมฟุตบอลกันที่สนามไหน สนามกีฬาเทศบาล,0
