text,label
สวัสดีค่ะ เนื่องจากคุณเป็นผู้โชคดีได้รับโทรศัพท์ iPhone 16 32GB ฟรี 1 เครื่องค่ะ,1
จริงค่ะ หากคุณต้องการรับโทรศัพท์นี้ โปรดติดต่อ Line @iDle23 เพื่อแจ้งที่อยู่นะคะ,1
มึงว่างป่ะ ไปกินชาบูกัน,0
วันนี้สัก 6 โมงเย็น,0
Your Verification key is 123456. Please do not share this code with anyone.,0
เรียนคุณสมชาย ธนาคารกรุงเทพขอแจ้งว่าบัญชีของท่านมีธุรกรรมต้องยืนยันตัวตน กดลิงก์นี้ bit.ly/secure-auth,1
กรุณาดำเนินการภายใน 15 นาที,1
สวัสดีค่ะ คุณสมหมาย สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเงินช่วยเหลือ กรุณากด 1 เพื่อยืนยันข้อมูล,0
ขอบคุณค่ะ ดำเนินการเรียบร้อย,0
เฮ้ เราอยู่แถวเซ็นทรัล อยากเจอป่ะ,0
ได้ ไปเจอกันโลตัสไดร์ฟทรู,0
รหัส OTP ของคุณคือ 789012 กรุณาอย่าเผยแพร่หมายเลขนี้กับผู้อื่น,0
ขอเรียนนายกสรรเพชร กระทรวงสาธารณสุข แจ้งเตือนสถานการณ์โควิด กรุณาเข้าเว็บไซต์ govcovid.go.th เพื่อรับข้อมูลล่าสุด,0
สวัสดีค่ะ พนักงานไปรษณีย์ โทรมาแจ้งว่าพัสดุของคุณถูกอายัด กรุณาชำระค่าธรรมเนียมผ่าน AirPay ภายในวันนี้,1
หวัดดี เราคิดถึงแก,0
ไปเจอกันวันเสาร์ไหม,0
รหัสยืนยันสำหรับการรีเซ็ตรหัสผ่านของคุณคือ ABCD1234,0
สวัสดีค่ะ เรียนเชิญเข้าร่วมสอบสัมภาษณ์งานที่บริษัท ABC กรุณายืนยันการรับสายโดยตอบ 1,0
...,0
ขอข้อมูลเพิ่มเติมเกี่ยวกับสวัสดิการที่ได้รับ,0
...,0
สวัสดีค่ะ โรงเรียนอนุบาลรุ่งเรื่อง โทรมาสอบถามเกี่ยวกับการลงทะเบียนปีการศึกษาใหม่ค่ะ,0
สวัสดีครับ พนักงาน AIS โทรมาสอบถามว่าคุณต้องการเพิ่มแพ็กเกจเน็ต 5GB ในราคา 99 บาทไหม,0
เรียนคุณณัฐพล กระทรวงสาธารณสุขโทรมาแจ้งนัดฉีดวัคซีน คุณสามารถรับการฉีดวัคซีนได้วันที่ 24 เมษายน,0
สวัสดีค่ะ ฝ่ายลูกค้าสัมพันธ์ธนาคารกรุงเทพค่ะ แจ้งว่ามีข้อสงสัยเกี่ยวกับรายการเดินบัญชีของท่าน,0
Your OTP for transaction is 736482,0
"คุณได้รับเงินคืนจากกรมสรรพากร 1,200 บาท กรุณากด *456# เพื่อรับสิทธิ์",1
เฮ้ ไปดูหนังกันมั้ยคืนนี้,0
ตรงข้ามห้างเดอะมอลล์,0
