text,label
[Call](สวัสดีค่ะ เนื่องจากคุณเป็นผู้โชคดีได้รับโทรศัพท์ iPhone 16 32GB ฟรี 1 เครื่องค่ะ) [User](จริงหรอค่ะ) [Call](จริงค่ะ หากคุณต้องการรับโทรศัพท์นี้ โปรดติดต่อ Line @iDle23 เพื่อแจ้งที่อยู่นะคะ),1
[Call](มึงว่างป่ะ ไปกินชาบูกัน) [User](ได้ๆ กี่โมงล่ะ) [Call](วันนี้สัก 6 โมงเย็น) [User](โอเค เจอกันนะ),0
[Call](Your Verification key is 123456. Please do not share this code with anyone.),0
[Call](เรียนคุณสมชาย ธนาคารกรุงเทพขอแจ้งว่าบัญชีของท่านมีธุรกรรมต้องยืนยันตัวตน กดลิงก์นี้ bit.ly/secure-auth) [User](ครับ/ค่ะ) [Call](กรุณาดำเนินการภายใน 15 นาที),1
[Call](สวัสดีค่ะ คุณสมหมาย สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเงินช่วยเหลือ กรุณากด 1 เพื่อยืนยันข้อมูล) [User](กด 1) [Call](ขอบคุณค่ะ ดำเนินการเรียบร้อย),0
[Call](เฮ้ เราอยู่แถวเซ็นทรัล อยากเจอป่ะ) [User](ไปคาเฟ่ดีไหม) [Call](ได้ ไปเจอกันโลตัสไดร์ฟทรู),0
[Call](รหัส OTP ของคุณคือ 789012 กรุณาอย่าเผยแพร่หมายเลขนี้กับผู้อื่น),0
[Call](ขอเรียนนายกสรรเพชร กระทรวงสาธารณสุข แจ้งเตือนสถานการณ์โควิด กรุณาเข้าเว็บไซต์ govcovid.go.th เพื่อรับข้อมูลล่าสุด),0
[Call](สวัสดีค่ะ พนักงานไปรษณีย์ โทรมาแจ้งว่าพัสดุของคุณถูกอายัด กรุณาชำระค่าธรรมเนียมผ่าน AirPay ภายในวันนี้),1
[Call](หวัดดี เราคิดถึงแก) [User](คิดถึงเหมือนกัน) [Call](ไปเจอกันวันเสาร์ไหม),0
[Call](รหัสยืนยันสำหรับการรีเซ็ตรหัสผ่านของคุณคือ ABCD1234),0
[Call](สวัสดีค่ะ เรียนเชิญเข้าร่วมสอบสัมภาษณ์งานที่บริษัท ABC กรุณายืนยันการรับสายโดยตอบ 1),0
[Call](...),0
[Call](ขอข้อมูลเพิ่มเติมเกี่ยวกับสวัสดิการที่ได้รับ) [User](สวัสดิการอะไรครับ) [Call](...),0
[Call](สวัสดีค่ะ โรงเรียนอนุบาลรุ่งเรื่อง โทรมาสอบถามเกี่ยวกับการลงทะเบียนปีการศึกษาใหม่ค่ะ),0
[Call](สวัสดีครับ พนักงาน AIS โทรมาสอบถามว่าคุณต้องการเพิ่มแพ็กเกจเน็ต 5GB ในราคา 99 บาทไหม) [User](ขอรายละเอียดเพิ่มเติมครับ),0
[Call](เรียนคุณณัฐพล กระทรวงสาธารณสุขโทรมาแจ้งนัดฉีดวัคซีน คุณสามารถรับการฉีดวัคซีนได้วันที่ 24 เมษายน),0
[Call](สวัสดีค่ะ ฝ่ายลูกค้าสัมพันธ์ธนาคารกรุงเทพค่ะ แจ้งว่ามีข้อสงสัยเกี่ยวกับรายการเดินบัญชีของท่าน),0
[Call](Your OTP for transaction is 736482),0
"[Call](คุณได้รับเงินคืนจากกรมสรรพากร 1,200 บาท กรุณากด *456# เพื่อรับสิทธิ์)",1
[Call](เฮ้ ไปดูหนังกันมั้ยคืนนี้) [User](นัดเจอกันที่โรงหนังไหน) [Call](ตรงข้ามห้างเดอะมอลล์),0
[Call](แจ้งเตือนความปลอดภัย บัญชีไลน์ของคุณถูกระงับ โปรดส่งรหัส 4 หลักเพื่อยืนยัน),1
[Call](Your verification code is 891230),0
[Call](เรียนลูกค้า TrueMove H โปรดเก็บ SMS นี้ไว้เพื่อยืนยันการเปิดบริการเสริม),0
[Call](...),0
[Call](แฟนเธอคือใคร ฉันอยากรู้จัก) [User](ฉันไม่สะดวกคุยเรื่องนี้),0
"[Call](คุณเป็นผู้โชคดีได้รับเงินรางวัล 5,000 บาท กรุณาส่งรูปบัตรประชาชนเพื่อรับเงิน)",1
[Call](Your 2FA code is 654321),0
[Call](สวัสดีค่ะ สำนักงานตรวจคนเข้าเมือง โทรมาสอบถามเอกสารยื่นขออนุญาตอยู่ต่อ),0
[Call](เธอไปคอนเสิร์ตวันเสาร์ไหม) [User](ไปสิเริ่มกี่โมง) [Call](ประตูเปิด 18:00 น.),0
[Call](บัญชีของคุณถูกล็อกเนื่องจากพยายามเข้าสู่ระบบผิดหลายครั้ง โปรดยืนยันข้อมูลผ่าน *789#),1
[Call](Your reset PIN is 321098),0
[Call](เรียนคุณสุนิสา สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเบี้ยยังชีพ),0
[Call](เสียงแปลกๆ โปรดพูดซ้ำ),0
[Call](เจอกันนอกสโมสรเทนนิสกี่โมง) [User](บ่ายโมงดีไหม) [Call](ได้เลย),0
[Call](รหัส OTP ของคุณคือ 567890),0
[Call](ฝ่ายพัสดุไปรษณีย์โทรแจ้งว่าสินค้าคุณจัดส่งไม่สำเร็จ กรุณายืนยันที่อยู่ของคุณ),0
[Call](คุณได้รับข้อเสนอสินเชื่อดอกเบี้ยต่ำ โปรดส่งสำเนาบัตรประชาชนเพื่อดำเนินการ),1
[Call](วันนี้กินข้าวที่คาเฟ่ไหนกันดี) [User](ลองร้านใหม่แถว BTS ได้ไหม),0
[Call](Your temporary password is abc12345),0
