text,start,end
สวัสดีครับ วันนี้เป็นไงบ้างน้อง,0.618,3.194
ก็ดีครับ แล้ววันนี้ได้ทำอะไรบ้าง,3.178,6.074
อ๋อ วันนี้ เอ่อ,6.538,8.186
ก็ วันนี้ ได้ พิง อะ,8.394,10.042
ได้วิ่งหรอ ได้ไปวิ่งที่ไหน,10.122,12.634
ก็ไปวิ่งรอบ,13.098,15.034
อ่าง,15.082,15.866
น้ำ มะอัว ครับ,15.978,17.274
โอ้ ขี้ดีมาก ๆ เอ่อ คน,17.226,19.503
ออกกำลังกายบ้างนะ อย่าลืม,19.503,22.106
แต่ว่าอย่าลืมพักอย่าลืมนอนอะไร,22.41,24.594
ด้วยนะทำงานให้ดีนะ โอเค,24.594,26.778000000000002
ครับ แล้วตอนนี้ตัวเองกำลังทำอะไรอยู่,27.21,30.074
อ๋อ ตอนนี้แค่นอนอยู่บนเตียงครับไม่ได้ทำอะไรมาก,30.506,33.466
โอเค โอเค โอเค,33.834,35.834
ดังนั้น เออ พักษ์ พักษ์ดีดี เนาะ อย่าลืม,35.85,37.854
ทำงานทำการบ้านอะไรให้หมดนะฮะ,37.854,40.058
อ้อ อ้อ ลืมบอก เดี๋ยวพรุ่งนี้,40.586,42.586
ผมมีสอบด้วย,42.762,43.962
โอเค งั้นขอโชคดีนะ อ่าน,44.01,46.230999999999995
ดีๆ พักดีๆ ด้วยนะ อย่าลืม,46.230999999999995,48.73
เอ่อ ทำงานทำทุกอย่างนะ โอเค,49.322,51.738
อีนะครับ สวัสดีครับพ่อ,53.13,54.778
